,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
0,Beverly Aadland,1942-09-16,Maurice Jose de Leon ( m.   1961 ;  div.   1964 ) Joseph E. McDonald ( m.   1967 ;  div.   1969 ) Ronald Fisher  ( m.  1969),1,,Actress,"Hollywood, California, U.S.",,,,,76.54914200839168,
1,Caroline Aaron,1952-08-07,James Foreman ( m.  1981),2,,"Actress, film producer","Richmond, Virginia, U.S.",,,,,66.6570839921422,
2,Diahnne Abbott,1945-05-01,Robert De Niro ( m.  1976;  div.  1988),"2, including Drena De Niro",,"Actress, singer","New York City, NY, US",1943-08-17,"Manhattan, New York City, U.S.","Actor, producer, director",1.7057160653538403,73.92622709569669,75.63194316105053
3,Rose Abdoo,1962-11-28,,,,"Actress, comedian","Chicago, Illinois, U.S.",,,,,56.348864110830476,
4,Donzaleigh Abernathy,1957-08-05,,,,"Actress, author, civil rights activist","Montgomery, Alabama, U.S.",,,,,61.66314161139517,
5,Whitney Able,1982-06-02,Scoot McNairy  ( m.  2010),2,,"Actress, model","Houston, Texas, U.S.",1977-11-11,"Dallas, Texas, U.S.","Actor, producer",4.555877259628876,36.83853877903037,41.394416038659244
6,Candice King,1987-05-13,Joe King  ( m.   2014 ),1,Lake Highland Preparatory School,Actresssingersongwriter,"Houston, Texas, U.S.",,,,,31.893878724409124,
7,Amy Acker,1976-12-05,James Carpinello  ( m.  2003),2,,Actress,"Dallas, Texas, U.S.",1975-08-13,"Albany, New York, U.S.",,1.3141953633544836,42.32804232804233,43.642237691396815
8,Jean Acker,1893-10-23,Rudolph Valentino ( m.  1919;  div.  1923),,,Actress,"Trenton, New Jersey, U.S.",1895-05-06,"Castellaneta, Apulia, Kingdom of Italy",Actor,-1.5332279239135642,125.44542324619944,123.91219532228588
9,Bettye Ackerman,,"November 1, 2006 (2006-11-01)  (aged 82) Columbia, South Carolina , U.S.",,,"Actress, artist","Cottageville, South Carolina, U.S.",1891-03-10,"New York City, U.S.","Actor, teacher, engineer",,,128.06833815889442
10,Amy Adams,1974-08-20,Darren Le Gallo ( m.  2015),1,,Actress,"Vicenza, Italy",,,,,44.622408399898696,
11,Brooke Adams,1949-02-08,Tony Shalhoub  ( m.  1992),2,,Actress,"New York City, U.S.",1953-10-09,"Green Bay, Wisconsin, U.S.",Actor,-4.665393539908417,70.15065333305954,65.48525979315113
12,Edie Adams,1927-04-16,Ernie Kovacs ( m.  1954; died 1962) Martin Mills ( m.  1964;  div.  1971) Pete Candoli ( m.  1972;  div.  1988),2,,"Businesswoman, singer, actress, comedienne","Kingston, Pennsylvania, U.S.",,,,,91.96903427175096,
13,Jane Adams,1965-04-01,,,"University of Washington, SeattleCornish College of the ArtsJuilliard School (BFA)",Actress,"Washington, D.C., U.S.",,,,,54.0079536198553,
14,Joey Lauren Adams,1968-01-09,"Beverly Hills ,  California , U.S.",,,"Actress, director","North Little Rock, Arkansas, U.S.",,,,,51.23445382177594,
15,Julie Adams,1926-10-17,Leonard Stern ( m.  1951;  div.  1953) Ray Danton ( m.  1954;  div.  1981),2,,Actress,"Waterloo, Iowa, U.S.",,"New York City, U.S.","Publisher, director, writer, producer",,92.46459544001588,
16,Lillian Adams,1922-05-13,,,,Actress,"New York City, U.S.",,,,,96.89452897732329,
17,Shohreh Aghdashloo,1952-05-11,Aydin Aghdashloo ( m.  1972;  div.  1979) Houshang Touzie  ( m.  1987),1,,Actress,"Tehran, Iran",1940-10-30,"Rasht, Iran",Painterart historianart critic,11.529326406428606,66.8980198087572,78.4273462151858
18,Dianna Agron,1986-04-30,Winston Marshall  ( m.  2016),,,"
Actress
singer
dancer
","Savannah, Georgia, U.S.",,,,,32.92880757305078,
19,Christina Aguilera,1980-12-18,"Los Angeles ,  California , U.S.",2,,Singersongwriteractresstelevision personality,"New York City, New York, U.S.",,,,,38.292367399741266,
20,Lexi Ainsworth,1992-10-28,,,,Actress,"Oklahoma City, Oklahoma, U.S.",,,,,26.431754245467054,
21,Jessica Alba,1981-04-28,"Los Angeles, California , U.S.",3,,"Actress, businesswoman","Pomona, California, U.S.",,,,,37.93370158182577,
22,Lola Albright,1924-07-20,Warren Dean ( m.  1944;  div.  1949) Jack Carson ( m.  1952;  div.  1958) Bill Chadney ( m.  1961;  div.  1975),,,"Actress, singer, model","Akron, Ohio, U.S.",,,,,94.70694127873946,
23,Erika Alexander,1969-11-19,Tony Puryear ( m.  1997;  div.  2017),,Philadelphia High School for Girls,Actress,"Winslow, Arizona, U.S.",,,,,49.37267705702376,
24,Jaimie Alexander,1984-03-12,,,,Actress,"Greenville, South Carolina, U.S.",,,,,35.06163713149483,
25,Khandi Alexander,1957-09-04,,,,"Actress, dancer, choreographer","Jacksonville, Florida, U.S.",,,,,61.58100440118552,
26,,1973-05-17,,2,,Actress,,,,,,45.88184562311341,
27,Tatyana Ali,1979-01-24,Harvard University   (2002),1,,"Actress, singer","North Bellmore, Long Island, New York, U.S.",,,,,40.19247486259129,
28,Ana Alicia,1956-12-12,Gary R. Benz ( m.  1994;  div.  2016),2,,"Actress, singer, producer","Mexico City, Mexico[1]",,,,,62.30928766504446,
29,Debbie Allen,1950-01-16,Win Wilford ( m.  1975–1983) Norm Nixon  ( m.  1984),,Howard University,"Actress, choreographer, dancer, film director, television director, television producer","Houston, Texas, U.S.",,,,,69.21428913666948,
30,Elizabeth Allen,1929-01-25,Baron Karl von Vietinghoff-Scheel ( m.  1952;  div.  1955),,,Actress,"Jersey City, New Jersey, U.S.",,,,,90.18939471720843,
31,Joan Allen,1956-08-20,Peter Friedman ( m.  1990;  div.  2002),1,,Actress,"Rochelle, Illinois, U.S.",1949-04-24,"New York City, New York, U.S.",Actor,7.323901243694258,62.62140906384115,69.94531030753541
32,Karen Allen,1951-10-05,Kale Browne ( m.  1988;  div.  1998),1,,Actress,"Carrollton, Illinois, U.S.",1949-06-16,"San Rafael, California, U.S.",Actor,2.302579792877335,67.49762144328768,69.80020123616501
33,Krista Allen,1971-04-05,Justin Moritt ( m.  1996;  div.  1999)  1 son Mams Taylor ( m.  2010;  div.  2012),1,,"
Actress
model
","Ventura, California, U.S.",,,,,47.99824773951553,
34,Laura Allen,1974-03-21,Bruce Weyman ( m.  2006),2,,Actress,"Portland, Oregon, U.S.",,,,,45.03857026496095,
35,Nancy Allen,1950-06-24,Brian De Palma ( m.  1979;  div.  1984) Craig Shoemaker ( m.  1992;  div.  1993) Randy Bailey ( m.  1998;  div.  2007),,High School of Performing Arts,Actress,"The Bronx, New York City, U.S.",1940-09-11,"Newark, New Jersey, U.S.","Film director, screenwriter",9.782541735969938,68.7789619225583,78.56150365852824
36,Kirstie Alley,1951-01-12,Bob Alley ( m.  1970;  div.  1977) Parker Stevenson ( m.  1983;  div.  1997),2,,"Actress, spokesmodel","Wichita, Kansas, U.S.",,,,,68.22590470714663,
37,Jamie Anne Allman,,Marshall Allman  ( m.  2006),3,,Actress,"Parsons, Kansas, U.S.",1984-04-05,"Austin, Texas, U.S.",Actor,,,34.995927363327105
38,June Allyson,1917-10-07,Dick Powell ( m.  1945; died 1963) Alfred Glenn Maxwell ( m.  1963;  div.  1965) ( m.  1966;  div.  1970) David Ashrow  ( m.  1976),2,,"Actress, dancer, singer","The Bronx, New York, U.S.",1904-11-14,"Mountain View, Arkansas, U.S.","Actor, singer, producer, director",12.895542002915871,101.49147484205699,114.38701684497286
39,Daniella Alonso,1978-09-22,"Actress, fashion model",,,"Actress, fashion model","New York City, U.S.",,,,,40.531975331457865,
40,Trini Alvarado,1967-01-10,Robert McNeill,,,Actress,"New York City, U.S.",,,,,52.23105197231976,
41,,1978-02-20,,2,,"Actress, singer",,,,,,41.11788743095341,
42,Mädchen Amick,1970-12-12,David Alexis ( m.  1992),2,,"Actress, director, writer","Sparks, Nevada, U.S.",,,,,48.31036913831222,
43,Suzy Amis Cameron,1962-01-05,Sam Robards ( m.  1986;  div.  1994) James Cameron  ( m.  2000),4,,"Actress, model","Oklahoma City, Oklahoma, U.S.",1961-12-16,"New York City, U.S.",Actor,0.05475814013977015,57.24415970211572,57.298917842255484
44,Eva Amurri Martino,1985-03-15,Kyle Martino  ( m.  2011),2,,Actress,"New York City, U.S.",,,,,34.054087352923055,
45,Kristina Anapau,1979-10-30,,,,"Actress, writer","Hawaii, U.S.",,,,,39.4285988076415,
46,Andrea Anders,1975-05-10,Matt LeBlanc  (2006–2015),,,Actress,"Madison, Wisconsin, U.S.",,,,,43.90233885706072,
47,Gillian Anderson,1968-08-09,Clyde Klotz ( m.  1994;  div.  1997) Julian Ozanne ( m.  2004;  div.  2006),3,DePaul University (BFA),"Actress, writer, producer, director","Chicago, Illinois, U.S.",1961-06-08,Canada,"Art director, production designer",7.170578451302902,50.651279629287394,57.821858080590296
48,Loni Anderson,1945-08-05,Bruce Hasselberg ( m.  1964;  div.  1966) Ross Bickell ( m.  1973;  div.  1981) Burt Reynolds ( m.  1988;  div.  1993) Bob Flick  ( m.  2008),2,,Actress,"Saint Paul, Minnesota, U.S.",,,,,73.6633880230258,
49,Mary Anderson,1918-04-03,Leonard M. Behrens ( m.  1940;  div.  1950) Leon Shamroy ( m.  1953; died 1974),1,,Actress,"Birmingham, Alabama, U.S.",,,,,101.00412739481304,
50,Melody Anderson,1955-12-03,,,,"Actress, social worker work, public speaker","Edmonton, Alberta, Canada",,,,,63.33600279266515,
51,Nicole Gale Anderson,1990-08-29,,,,Actress,"Rochester, Indiana, U.S.",,,,,28.597438687994963,
52,Jennifer Aniston,1969-02-11,Brad Pitt ( m.  2000;  div.  2005) Justin Theroux ( m.  2015;  sep.  2017),,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Actressfilm producerbusinesswoman,"Sherman Oaks, California, U.S.",1963-12-18,"Shawnee, Oklahoma, U.S.",Actorfilm producer,5.152740987152371,50.14202892598753,55.2947699131399
53,Odette Annable,1985-05-10,Dave Annable  ( m.   2010 ),1,,Actress,"Los Angeles, California, U.S.",1979-09-15,"Suffern, New York, U.S.",Actor,5.65104006242428,33.9007645605317,39.551804622955984
54,Susan Anton,1950-10-12,Jack Stein ( m.  1975;  div.  1980) Jeff Lester  ( m.  1992),,,"Actress, singer","Oak Glen, California, U.S.",,,,,68.47779215178956,
55,Shiri Appleby,1978-12-07,Jon Shook ( m.  2013),2,,"Actress, director","Los Angeles, California, U.S.",,,,,40.32389439892674,
56,Christina Applegate,1971-11-25,Johnathon Schaech ( m.  2001;  div.  2007) Martyn LeNoble  ( m.  2013),1,,Actress,"Hollywood, California, U.S.",1969-09-10,"Edgewood, Maryland, U.S.","
Actor
writer
producer
",2.2067530476327373,47.357577499880215,49.56433054751295
57,Anne Archer,1947-08-24,William Davis (1969–1977) Terry Jastrow (1979–present),Jeffrey Tucker Jastrow (b. 1984)Tommy Davis,,Actress,"Los Angeles, California, U.S.",,,,,71.61269567479141,
58,Beverly Archer,1948-07-19,Robert Bernard ( m.  1976),,,,"Oak Park, Illinois, U.S.",,,,,70.7091863624852,
59,Eve Arden,1908-04-30,Ned Bergen ( m.  1939;  div.  1947) Brooks West ( m.  1952; died 1984),4,,Actress,"Mill Valley, California, U.S.",,,,,110.92904029514638,
60,Ashley Argota,1993-01-09,,,,"Actress, singer","Redlands, California, U.S.",,,,,26.23188703395689,
61,Jillian Armenante,1968-07-05,Alice Dodd,2,,Actress,"Paterson, New Jersey, U.S.",,,,,50.74710637453199,
62,Bess Armstrong,1953-12-11,Chris Carreras ( m.  1983;  div.  1984) John Fiedler  ( m.  1985),3,,Actress,"Baltimore, Maryland, U.S.",,,,,65.31277165171085,
63,Samaire Armstrong,1980-10-31,,1,,Actress,"Tokyo, Japan",,,,,38.423786936076716,
64,Alexis Arquette,1969-07-28,,,,"Actress, musician, singer, cartoonist","Los Angeles, California, U.S.",,,,,49.68479845582045,
65,Patricia Arquette,1968-04-08,Nicolas Cage ( m.  1995;  div.  2001) Thomas Jane ( m.  2006;  div.  2011),2,,Actress,"Chicago, Illinois, U.S.",1964-01-07,"Long Beach, California, U.S.","Actor, director, producer",4.251969581853152,50.98804219114698,55.24001177300013
66,Rosanna Arquette,1959-08-10,Anthony Greco ( m.  1979;  div.  1980) James Newton Howard ( m.  1986;  div.  1987) John Sidel ( m.  1993;  div.  1999) Todd Morgan  ( m.  2013),1,,"Actress, film director, film producer","New York City, U.S.",,,,,59.650779961258614,
67,Beatrice Arthur,1922-05-13,Linden Hall School for Girls Blackstone College for Girls Franklin Institute The New School,2,,"Actress, comedienne, singer, activist","Brooklyn, New York City, U.S.",1922-06-10,United States,"Producer, screenwriter, film director",-0.07666139619567822,96.89452897732329,96.8178675811276
68,Jean Arthur,1900-10-17,"Julian Anker ( m.  1928–1928) Frank Ross, Jr. ( m.  1932;  div.  1949)",,,Actress,"Plattsburgh, New York, U.S.",,,,,118.46376037837875,
69,Katie Aselton,1978-10-01,Mark Duplass  ( m.  2006),2,,"Actress, film director/producer","Milbridge, Maine, U.S.",1976-12-07,"New Orleans, Louisiana, U.S.","
Film director
film producer
screenwriter
actor
musician
film editor
author
",1.8152323456333805,40.50733416839497,42.32256651402835
70,Ashanti,1980-10-13,"
 Ja Rule 
 Lloyd 
 T.I. 
 Vita 
 Irv Gotti 
 Fat Joe 
 Nelly 
 Cadillac Tah 
 Black Child 
",,,"
Singer
songwriter
dancer
actress
","Glen Cove, New York, U.S.",,,,,38.47306926220251,
71,Elizabeth Ashley,1939-08-30,James Farentino ( m.  1962;  div.  1965) George Peppard ( m.  1966;  div.  1972) James McCarthy ( m.  1975;  div.  1981),1,,Actress,"Ocala, Florida, U.S.",1938-02-24,"Brooklyn, New York, U.S.",,1.5113246678576562,79.5964325071699,81.10775717502754
72,Mary Astor,1906-05-03,Kenneth Hawks ( m.  1928; his death 1930) Franklyn Thorpe ( m.  1931;  div.  1935) Manuel del Campo ( m.  1936;  div.  1941) Thomas Gordon Wheelock ( m.  1945;  div.  1955),2,,Actress,"Quincy, Illinois, U.S.",1898-08-12,"Goshen, Indiana",Film director,7.720897759707592,112.92223659623401,120.6431343559416
73,Margaret Avery,1944-01-20,Robert Gordon Hunt ( m.  1974;  div.  1980),1,,Actress,"Mangum, Oklahoma, U.S.",,,,,75.20482966796033,
74,Nicki Aycox,1975-05-26,,,,"
Actress
musician
","Hennessey, Oklahoma, U.S.",,,,,43.858532344948905,
75,Rochelle Aytes,1976-05-17,CJ Lindsey ( m.  2016),,Fiorello H. LaGuardia High SchoolState University of New York at Purchase,"Actress, model","Harlem, New York City, New York, U.S.",,,,,42.881099543454006,
76,Candice Azzara,1945-05-18,,,,Actress,"Brooklyn, New York, U.S.",,,,,73.87968267657789,
77,Lauren Bacall,1924-09-16,Humphrey Bogart ( m.  1945; died 1957) Jason Robards ( m.  1961;  div.  1969),"3, including Sam Robards",,"
Actress
model
","The Bronx, New York City, U.S.",1899-12-25,"New York City, U.S.",Actor,24.726038180113214,94.54814267233414,119.27418085244734
78,Barbara Bach,1947-08-27,Count Augusto Gregorini ( m.  1966;  div.  1978) Sir  Ringo Starr  ( m.  1981),"2, including Francesca Gregorini",,"Actress, model","Queens, New York City, New York, U.S.",,,,,71.60448195377045,
79,Catherine Bach,1954-03-01,David Shaw ( m.  1976;  div.  1981) Peter Lopez ( m.  1990; died 2010),2,"University of California, Los Angeles (withdrawn)",Actress,"Warren, Ohio, U.S.",,,,,65.09373909115178,
80,Mary Badham,1952-10-07,Richard Wilt ( m.  1975),2,,"Child actress, art restorer","Birmingham, Alabama, U.S.",,,,,66.49007166471591,
81,Jane Badler,1953-12-31,Stephen  Hains [1],2,,"Actress, singer","Brooklyn, New York City, U.S.",,,,,65.25801351157108,
82,Erykah Badu,1971-02-26,Jay Electronica  (2004–2009) Carl Jones (2013–2018),3,,Singersongwriterrecord producerRapperdisc-jockeymusicianactress,"Dallas, Texas, U.S.",,,,,48.10228820578109,
83,Katherine Bailess,1980-04-24,,,St. Aloysius Catholic High School,"Actress, dancer, singer-songwriter","Vicksburg, Mississippi, U.S.",,,,,38.94398926740453,
84,Laura Bailey,,Travis Willingham  ( m.  2011),1,,"Voice actress, voice director, actress","Mississippi, U.S.[1]",,,"Actor, voice actor",,,
85,Pearl Bailey,1918-03-29,John Randolph Pinkett ( m.  1948–1952) Louie Bellson  ( m.  1952–1990),2,,"Actress, singer","Newport News, Virginia, U.S.",,,,,101.01781692984798,
86,Barbara Bain,1931-09-13,Martin Landau ( m.  1957;  div.  1993),Juliet LandauSusan Bain Landau Finch,,"Actress, former dancer and model","Chicago, Illinois, U.S.",1928-06-20,"Brooklyn, New York City, U.S.","Actor, acting coach",3.230730268246439,87.55826608349247,90.78899635173892
87,Fay Bainter,1893-12-07,Reginald Venable  (m. 1921–1964; his death; 1 son),,,"Actress, Singer","Los Angeles, California, U.S.[1]",,,,,125.32221743088496,
88,Diora Baird,1983-04-06,Jonathan Togo ( m.  2013;  div.  2016),1[1],,"Actress, model","Miami, Florida, United States",1977-08-25,"Rockland, Massachusetts, US",Actor,5.612709364326441,35.99526342087791,41.60797278520435
89,Blanche Baker,1956-12-20,Bruce Van Dusen ( m.  1983;  div.  2002) Mark Magill ( m.  2003),4,,Actress,"New York City, New York, U.S.",,,,,62.28738440898855,
90,Carroll Baker,1931-05-28,"
 Louie Ritter ( m.  1953;  div.  1953) 
 Jack Garfein ( m.  1955;  div.  1969) 
 Donald Burton ( m.  1978; died 2007) 
","
Blanche Baker
Herschel Garfein
",,Actresswriter,"Johnstown, Pennsylvania, U.S.",,,,,87.85396004024723,
91,Diane Baker,1938-02-25,,,,"Actress, producer","Hollywood, Los Angeles, California, U.S.",,,,,81.10501926802056,
92,Kathy Baker,1950-06-08,Donald Camillieri ( m.  1985;  div.  1999)   Steven Robman  ( m.  2003),2,"California Institute of the ArtsUniversity of California, Berkeley (BA)",Actress,"Midland, Texas, U.S.",,,,,68.82276843467011,
93,Leigh-Allyn Baker,1972-03-13,Keith Kauffman (m. 2004),2[2],,"Actress, voice artist","Murray, Kentucky, U.S.[3]",,,,,47.05914563611847,
94,Brenda Bakke,1963-05-15,,,,Actress,"Klamath Falls, Oregon, U.S.",,,,,55.888895733656405,
95,Fairuza Balk,1974-05-21,,,,"Actress, musician","Point Reyes, California, U.S.",,,,,44.871557937534654,
96,Lucille Ball,1911-08-06,Desi Arnaz ( m.  1940;  div.  1960) Gary Morton  ( m.  1961),Lucie ArnazDesi Arnaz Jr.,,"Actress, comedian, model, film studio executive, TV producer","Jamestown, New York, U.S.",1917-03-02,"Santiago de Cuba, Republic of Cuba (present-day Cuba)","Actor, musician, producer",-5.571640759221613,107.66271723580908,102.09107647658747
97,Kaye Ballard,1925-11-20,,,,"Actress, singer, comedian","Cleveland, Ohio, U.S.",,,,,93.37084265932907,
98,Talia Balsam,1959-03-05,George Clooney ( m.  1989;  div.  1993) John Slattery  ( m.  1998),1,,Actress,"New York City, U.S.",1961-05-06,"Lexington, Kentucky, U.S.","Actor, screenwriter, producer with Smoke House Pictures, director",-2.1711602565418864,60.0833692683628,57.91220901182091
99,Anne Bancroft,1931-09-17,Martin May ( m.  1953;  div.  1957) Mel Brooks  ( m.  1964),Max Brooks,,"Actress, director, screenwriter and singer","The Bronx, New York, U.S.",,,,,87.54731445546452,
100,Tallulah Bankhead,1902-01-31,John Emery ( m.  1937;  div.  1941),,,Actress,"Huntsville, Alabama, U.S.",1905-05-20,"New York City, New York, U.S.",Actor,-3.2991779434211517,117.17420617808716,113.875028234666
101,Elizabeth Banks,1974-02-10,Max Handelman  ( m.  2003),2,University of Pennsylvania (BA)American Conservatory Theater (MFA),Actressdirectorproducer,"Pittsfield, Massachusetts, U.S.",1973-05-03,"Portland, Oregon, U.S.","Sportswriter, film producer, blogger",0.7748276829777476,45.1453486382335,45.92017632121125
102,Tyra Banks,1973-12-04,Erik Asla (2013–2017),1,,"
Television personality
producer
businesswoman
model
actress
singer
author
","Inglewood, California, U.S.",,,,,45.33152631470872,
103,Christine Baranski,1952-05-02,Matthew Cowles ( m.  1983; died 2014),2,Juilliard School (BFA),"
Actress
singer
producer
","Buffalo, New York, U.S.",1944-09-28,"New York City, U.S.",Actor,7.592216130379132,66.9226609718201,74.51487710219922
104,Adrienne Barbeau,1945-06-11,John Carpenter ( m.  1979;  div.  1984) Billy Van Zandt ( m.  1992;  div.  2018),3,,"Actress, singer, writer","Sacramento, California, U.S.",1948-01-16,"Carthage, New York, U.S.","
Film director
screenwriter
producer
editor
composer
musician
",-2.5982737496320936,73.81397290841016,71.21569915877807
105,Ellen Barkin,1954-04-16,Gabriel Byrne ( m.  1988;  div.  1999)     Ronald O. Perelman ( m.  2000;  div.  2006),2,,Actress,"The Bronx, New York, U.S.",1950-05-12,"Dublin, Ireland","Actor, film director, film producer, screenwriter, author",3.9288965550285084,64.9677953688303,68.89669192385881
106,Joanna Eyles,1934-11-15,"Richard Edward Herndon (m. 1955–?; divorced) Lawrence Dobkin (m. 1961–1967; divorced) Jack Lionel Warner (married 1980–2012, his death)",,,,"Boston, Massachusetts",,,,,84.3850318623928,
107,Priscilla Barnes,1954-12-07,Ted Monte,,,Actress,"Fort Dix, New Jersey, U.S.",,,,,64.324387222188,
108,Majel Barrett,1932-02-23,Gene Roddenberry ( m.  1969; died 1991),Rod Roddenberry,Shaker Heights High School,"Actress, producer, voice actress","Columbus, Ohio, U.S.",1921-08-19,"El Paso, Texas, U.S.","Television writer, producer",10.513562906835869,87.11198724135335,97.62555014818922
109,Barbara Barrie,1931-05-23,Jay Harnick ( m.  1964; died 2007),2,,"Actress, singer, author","Chicago, Illinois, U.S.",,,,,87.86764957528217,
110,Dana Barron,1966-04-22,,1,,Actress,"New York City, New York, U.S.",,,,,52.95112151515774,
111,Drew Barrymore,1975-02-22,Jeremy Thomas ( m.  1994;  div.  1995) Tom Green ( m.  2001;  div.  2002) Will Kopelman ( m.  2012;  div.  2016),2,,"
Actress
producer
director
author
model
entrepreneur
","Culver City, California, U.S",,,,,44.11315769659883,
112,Ethel Barrymore,1879-08-15,Russell Griswold Colt ( m.  1909;  div.  1923),3,,Actress,"Philadelphia, Pennsylvania, U.S.",,,,,139.63599526342088,
113,Roseanne Barr,1952-11-03,Bill Pentland ( m.  1974;  div.  1990) Tom Arnold ( m.  1990;  div.  1994) Ben Thomas ( m.  1995;  div.  2002),5,,"Actress, comedian, writer, producer, politician","Salt Lake City, Utah, U.S.",,,,,66.41614817552721,
114,Bonnie Bartlett,1929-06-20,William Daniels  ( m.  1951),3,,"Film, television actress","Wisconsin Rapids, Wisconsin, U.S.",,,,,89.78966029418811,
115,Mischa Barton,1986-01-24,,,,"
Actress
fashion model
fashion designer
","Hammersmith, London, England",,,,,33.191646645721676,
116,Kim Basinger,1953-12-08,"
 Ron Snyder ( m.  1980;  div.  1989) 
 Alec Baldwin ( m.  1993;  div.  2002) 
",Ireland Baldwin,,"
Actress
model
singer
producer
animal rights activist
","Athens, Georgia, U.S.",,,,,65.32098537273181,
117,Angela Bassett,1958-08-16,Courtney B. Vance  ( m.  1997),2,,Actress,"New York City, New York, U.S.",1960-03-12,"Detroit, Michigan, U.S.",Actor,-1.5715586220114033,60.63368857676749,59.06212995475609
118,Justine Bateman,1966-02-19,Mark Fluent ( m.  2001),2,,"Writer, director, producer, actress","Rye, New York, U.S.",,,,,53.120871749591025,
119,Kathy Bates,1948-06-28,Tony Campisi ( m.  1991;  div.  1997),,,"Actress, director","Memphis, Tennessee, U.S.",,,,,70.76668240963195,
120,Cyia Batten,1972-01-26,,,,"Actress, dancer, model, vedette/showgirl","Locust Valley, New York, U.S.",,,,,47.18782726544693,
121,Frances Bavier,1902-12-14,,,,Actress,"Manhattan, New York City, U.S.",,,,,116.3062896568718,
122,Anne Baxter,1923-05-07,John Hodiak ( m.  1946;  div.  1953) Randolph Galt ( m.  1960;  div.  1969) David Klee ( m.  1977; his death 1977),3,,"Actress, singer","Michigan City, Indiana, U.S.",1914-04-16,"Pittsburgh, Pennsylvania, U.S.",,9.056996379117983,95.91162036181441,104.96861674093239
123,Meredith Baxter,1947-06-21,Meredith Baxter Birney,5,James Monroe High SchoolHollywood High SchoolInterlochen Center for the Arts,"Actress, producer","South Pasadena, California, U.S.",,,,,71.78792172323867,
124,Jennifer Beals,1963-12-19,Alexandre Rockwell ( m.  1986;  div.  1996) Ken Dixon ( m.  1998),1,Francis W. Parker SchoolYale University,"Actress, model","Chicago, Illinois, U.S.",1956-08-18,"Boston, Massachusetts, U.S.","Screenwriter, producer, film director",7.334852871722212,55.292032006132914,62.626884877855126
125,Amanda Bearse,1958-08-09,Carrie Schenken (2010–present),1,,"Actress, director, comedian","Winter Park, Florida, U.S.",,,,,60.65285392581641,
126,Madisen Beaty,,,,,Actress,"Centennial, Colorado, U.S.[1]",,,,,,
127,Kimberly Beck,1956-01-09,"William Barron Hilton, Jr. ( m.  1978–1985)  (divorced) Jason Clark ( m.  1988)",,Glendale High School,Actress,"Glendale, California, U.S.",,,,,63.23470023340657,
128,Bonnie Bedelia,1948-03-25,Ken Luber ( m.  1969;  div.  1980) Michael MacRae ( m.  1995),2,,Actress,"New York City, New York, U.S.",,,,,71.02678357529587,
129,Nicole Beharie,1985-01-03,,,Juilliard School (BFA),"Actress, singer","West Palm Beach, Florida, U.S.",,,,,34.248478750419245,
130,Beth Behrs,1985-12-26,Michael Gladis  ( m.   2018 ),,,"Actress, writer","Lancaster, Pennsylvania, U.S.",1977-08-30,"Houston, Texas, U.S.",Actor,8.323237301245063,33.271045948924346,41.59428325016941
131,Doris Belack,1926-02-26,Philip Rose ( m.  1946; died 2011),,,Actress,"New York City, U.S.",1921-07-04,"Manhattan, New York City, U.S.",Producer,4.648966097866486,93.10252777264421,97.75149387051069
132,Ashley Bell,1986-05-26,,,,Actress,"Santa Monica, California, USA",,,,,32.85762199086908,
133,Catherine Bell,1968-08-14,Adam Beason ( m.  1994;  div.  2011),2,,"Model, Actress, Producer","London, England, UK",,,,,50.637590094252445,
134,Jillian Bell,1984-04-25,,,,Actressscreenwritercomedian,"Las Vegas, Nevada, U.S.",,,,,34.94116922318734,
135,Kristen Bell,1980-07-18,Dax Shepard  ( m.  2013),2,,Actress,"Huntington Woods, Michigan, U.S.",1975-01-02,"Highland Township, Oakland County, Michigan, U.S.","Actor, writer, director",5.54152378214474,38.71126717181051,44.25279095395525
136,Lake Bell,1979-03-24,Scott Campbell  ( m.  2013),2,,"Actress, director, screenwriter","New York City, New York, U.S.",1977-05-13,,,1.8617767647521852,40.03093834917897,41.89271511393115
137,Camilla Belle,1986-10-02,,,,Actress,"Los Angeles, California, U.S.",,,,,32.50443198696756,
138,Kathleen Beller,1956-02-19,Thomas Dolby,,,Actress,"Westchester, New York, U.S.",,,,,63.12244604612005,
139,Troian Bellisario,1985-10-28,Patrick J. Adams  ( m.  2016),1,,Actress,"Los Angeles, California, U.S.",1981-08-27,"Toronto, Ontario, Canada","Actor, photographer, director",4.169832371643497,33.43258246233667,37.60241483398016
140,Maria Bello,,Dan McDermott [1] Clare Munn [2],Jackson,,Actressproducerwriter,"Norristown, Pennsylvania, U.S.",,,,,,
141,Bea Benaderet,1906-04-04,Jim Bannon ( m.  1938;  div.  1950) Eugene Twombly ( m.  1957; her death 1968),"2, including Jack Bannon",St. Rose Academy High School,"Actress, voice actress","New York City, United States",1911-04-09,"Kansas City, Missouri, U.S.",Actor,-5.013107729795958,113.00163589943668,107.98852816964072
142,Andrea Bendewald,1970-03-04,Mitch Rouse  ( m.  2001),2,High School of Performing Arts,,"New York City, New York, U.S.",1964-08-06,"Knoxville, Tennessee","Film, television actor",5.5743786662286015,49.08519682128996,54.659575487518566
