,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
523,Melissa Claire Egan,1981-09-28,Matt Katrosar ( m.  2014),,University of North Carolina at Chapel Hill (B.A.),,"Pound Ridge, New York, U.S.",,,,,37.514801809756534,
524,Nicole Eggert,1972-01-13,Justin Herwick ( m.  2000;  div.  2002),2[1][2],,"Actress, comedian","Glendale, California, U.S.",1970-06-27,"Cerritos, California, U.S.",Actor,1.5469174589485069,47.223420056537776,48.77033751548629
525,Jennifer Ehle,1969-12-29,Michael Ryan ( m.  2001),2,,Actress,"Winston-Salem, North Carolina, U.S.",,,,,49.263160776744215,
526,Lisa Eilbacher,1956-05-05,Bradford May ( m.  1988),,,Actress,"Dhahran, Saudi Arabia",,,,,62.914365113588914,
527,Jill Eikenberry,1947-01-21,Michael Tucker [1]  ( m.  1973),1,Columbia UniversityYale University (MFA),Actress,"New Haven, Connecticut, U.S",1945-02-06,"Baltimore, Maryland, U.S.",Actor & Author,1.9548656029897944,72.20134568129393,74.15621128428373
528,Hallie Eisenberg,,,,,Actress,"East Brunswick, New Jersey, U.S.",,,,,,
529,Carmen Electra,1972-04-20,"
 Dennis Rodman ( m.  1998;  div.  1999) 
 Dave Navarro ( m.  2003;  div.  2007) 
",,,"Actress, model, dancer, television personality, singer, entertainer","Sharonville, Ohio, U.S.",,,,,46.95510516985291,
530,Erika Eleniak,1969-09-29,Philip Goglia ( m.  1998;  div.  1998),1,,Actress,"Glendale, California",,,,,49.51231031438017,
531,Jenna Elfman,1971-09-30,Bodhi Elfman  ( m.  1995),2,,"Actress, producer","Los Angeles, California, U.S.",1969-07-19,"Los Angeles, California, U.S.","Actor, director, producer, screenwriter",2.1985393266117716,47.51090029227157,49.709439618883344
532,Kimberly Elise,1967-04-17,Maurice Oldham ( m.  1989;  div.  2005),2,,Actress,"Minneapolis, Minnesota, U.S.",,,,,51.96547499264187,
533,Shannon Elizabeth,1973-09-07,Joseph D. Reitman  (m. 2002–2005),,,"Actress, model","Houston, Texas, United States",,,,,45.57246213132371,
534,Vera-Ellen,,Robert Hightower ( m.  1941–1946)     Victor Rothschild ( m.  1954;  div.  1966),1,,"Dancer, actress","Norwood, Ohio, US",,,,,,
535,Jane Elliot,1947-01-17,Luis Rojas,3,,Actress,"New York City, New York, U.S.",,,,,72.21229730932188,
536,Patricia Elliott,1938-07-21,,,,Actress,"Gunnison, Colorado, U.S.",,,,,80.70528484500024,
537,Aunjanue Ellis,1969-02-21,,,Tougaloo CollegeBrown University (BA)New York University (MFA),"Actress, producer","San Francisco, California, U.S.",,,,,50.11464985591764,
538,Molly Ephraim,1986-05-22,,,,Actress,"Philadelphia, Pennsylvania, United States",,,,,32.86857361889703,
539,Shareeka Epps,1989-07-11,,,,Actress,"Brooklyn, New York, U.S.",,,,,29.730932188888204,
540,Kathryn Erbe,1965-07-05,Terry Kinney ( m.  1993;  div.  2006),2,,Actress,"Newton, Massachusetts, U.S.",1954-01-29,"Lincoln, Illinois, U.S.",Actor,11.43076175417702,53.747852454191396,65.17861420836842
541,Jennifer Esposito,1973-04-11,Bradley Cooper ( m.  2006;  div.  2007)     Louis Dowler ( m.  2014;  div.  2016),,Moore Catholic High School,Actressauthorbakerhealth advocatebusinesswoman,"New York City, New York, U.S.",1975-01-05,"Philadelphia, Pennsylvania, U.S.","
Actor
filmmaker
",-1.7358330424307138,45.980410275364996,44.24457723293428
542,Estelle Evans,1906-10-01,Walter Evans,Eliza EvansElla EvansEstella Evans,,Actress,"Nassau, New Providence, Bahamas",,,,,112.50881263817874,
543,Judi Evans,1964-07-12,Michael Luciano (1993–present),1 child,,Actress,"Montebello, California, U.S.",,,,,54.728023162693276,
544,Linda Evans,1942-11-18,John Derek ( m.  1968;  div.  1974) Stan Herman ( m.  1975;  div.  1979),,,Actress,"Hartford, Connecticut, U.S.",1926-08-12,"Hollywood, California, U.S.","Actor, director, photographer",16.268643435525714,76.37665386695141,92.64529730247712
545,Mary Beth Evans,1961-03-07,Dr. Michael Schwartz ( m.   1985 ),3[1],,Actress,"Pasadena, California, U.S.",,,,,58.076483432240224,
546,Angie Everhart,1969-09-07,Ashley Hamilton ( m.  1996;  div.  1997) Carl Ferro ( m.  2014),1,,Actress,"Akron, Ohio, U.S.",1974-09-30,"Los Angeles, California, U.S.","
Actor
musician
comedian
",-5.0623900559217505,49.57254426853392,44.51015421261217
547,Briana Evigan,1986-10-23,,,,"
Actress
dancer
singer
songwriter
choreographer
","Los Angeles, California, United States",,,,,32.446935939820804,
