,Unnamed: 0,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp
1763,1763,Alanna Ubach,1975-10-03,Thom Russo [1],Thomas Rodolfo Russo III [1],,Actress,"Downey, California , U.S.",,,,,,,43.510818155061365,
1764,1764,Leslie Uggams,1943-05-25,Grahame Pratt ( m.  1965),2,Juilliard School,Actress singer,"Harlem, New York City ,  New York , U.S.",,,,,,,75.87014107065853,
1765,1765,Carrie Underwood,1983-03-10,Mike Fisher  ( m.  2010),2,,"
 Singer 
 songwriter 
 actress 
","Muskogee, Oklahoma , U.S.",,,,,,,36.07740063108756,
1766,1766,Gabrielle Union,1972-10-29,Chris Howard ( m.  2001;  div.  2006) Dwyane Wade    ( m.  2014),1,,Actress,"Omaha, Nebraska , U.S.",,,,,,,46.43764074553208,
1767,1767,Kate Upton,1992-06-10,"
 Model 
 actress 
",1,,"
 Model 
 actress 
","St. Joseph, Michigan , U.S.",,,,,,,26.82327494746641,
1768,1768,Brenda Vaccaro,1939-11-18,Martin Fried ( m.  1965;  div.  1970) William Bishop ( m.  1977;  div.  1978) Charles Cannizzaro ( m.  1981;  div.  1982) Guy Hector ( m.  1986),,Neighborhood Playhouse School of the Theatre,Actress,"Brooklyn ,  New York City ,  New York , U.S.",,,,,,,79.38561366763177,
1769,1769,Cristina Vee,1987-07-11,,,,"Voice actress, voice director","Los Angeles, California , U.S.",,,,,,,31.74055593201777,
1770,1770,Amber Valletta,1974-02-09,Hervé Le Bihan (1994–1996)  Chip McCaw  (2003–2015),1,,"Actress, model","Phoenix, Arizona , U.S.",,,,,,,45.156300266261454,
1771,1771,Danitra Vance,1954-07-13,,,,"Comedian, actress","Chicago, Illinois , U.S.",,,,,,,64.73507327323628,
1772,1772,Vivian Vance,1909-07-26,"Joseph Shearer Danneck, Jr. ( m.  1928;  div.  1931) George Koch ( m.  1933;  div.  1940) Philip Ober ( m.  1941;  div.  1959) John Dodds ( m.  1961)",,Independence High School,"Actress, singer","Cherryvale, Kansas , US",,,,,,,109.69972004900853,
1773,1773,Mamie Van Doren,1931-02-06,"Jack Newman ( m.  1949;  div.  1949) Ray Anthony ( m.  1955;  div.  1961) Leroy ""Lee"" Raymond Meyers ( m.  1966;  div.  1967) Ross Augustus McClintock ( m.  1972; ann. 1973) Thomas Gordon Dixon ( m.  1979)",1,,"Actress ,  model ,  singer ,  nightclub performer","Rowena, South Dakota , U.S.",,,,,,,88.16608143904392,
1774,1774,Deborah Van Valkenburgh,1952-08-29,,,,Actress,"Schenectady, New York ,  U.S.",,,,,,,66.60506375900943,
1775,1775,Jo Van Fleet,1915-12-29,William Bales (1946-90; his death; 1 child: Michael),,,Actress,"Oakland, California , U.S.",,,,,,,103.2738523036065,
1776,1776,Shantel VanSanten,1985-07-25,,,,"
 Actress 
 model 
","Luverne, Minnesota , U.S.",,,,,,,33.70089734902154,
