,Unnamed: 0,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp
0,0,Beverly Aadland,1942-09-16,Maurice Jose de Leon ( m.   1961 ;  div.   1964 ) Joseph E. McDonald ( m.   1967 ;  div.   1969 ) Ronald Fisher  ( m.  1969),1,,Actress,"Hollywood, California , U.S.",,,,,,,76.55735572941265,
1,1,Caroline Aaron,1952-08-07,James Foreman ( m.  1981),2,,"Actress, film producer","Richmond, Virginia , U.S.",,,,,,,66.66529771316317,
2,2,Diahnne Abbott,1945-05-01,Robert De Niro ( m.  1976;  div.  1988),"2, including  Drena De Niro",,"Actress, singer","New York City ,  NY ,  US",1943-08-17,"Manhattan, New York City , U.S.","Actor, producer, director",Diahnne Abbott ( m.  1976;  div.  1988) Grace Hightower ( m.  1997; separated 2018),"6, including Drena and Raphael",1.7057160653538403,73.93444081671765,75.6401568820715
3,3,Rose Abdoo,1962-11-28,,,,"Actress, comedian","Chicago ,  Illinois , U.S.",,,,,,,56.35707783185144,
4,4,Donzaleigh Abernathy,1957-08-05,,,,"Actress, author, civil rights activist","Montgomery, Alabama , U.S.",,,,,,,61.671355332416134,
5,5,Whitney Able,1982-06-02,Scoot McNairy  ( m.  2010),2,,"Actress, model","Houston ,  Texas , U.S.",1977-11-11,"Dallas ,  Texas , U.S.","Actor, producer",Whitney Able  ( m.  2010),2,4.555877259628876,36.84675250005134,41.40262975968021
6,6,Candice King,1987-05-13,Joe King  ( m.   2014 ),1,Lake Highland Preparatory School,Actress singer songwriter,"Houston ,  Texas , U.S.",,,,,,,31.902092445430092,
7,7,Amy Acker,1976-12-05,James Carpinello  ( m.  2003),2,,Actress,"Dallas ,  Texas , U.S.",1975-08-13,"Albany, New York , U.S.",,Amy Acker  ( m.  2003),2,1.3141953633544836,42.336256049063294,43.65045141241778
8,8,Jean Acker,1893-10-23,Rudolph Valentino ( m.  1919;  div.  1923),,,Actress,"Trenton, New Jersey , U.S.",1895-05-06,"Castellaneta ,  Apulia ,  Kingdom of Italy",Actor,Jean Acker ( m.  1919;  div.  1923) Natacha Rambova ( m.  1923;  div.  1925),,-1.5332279239135642,125.4536369672204,123.92040904330685
9,9,Bettye Ackerman,,"November 1, 2006 (2006-11-01)  (aged 82) Columbia, South Carolina , U.S.",,,"Actress, artist","Cottageville, South Carolina , U.S.",1891-03-10,"New York City , U.S.","Actor, teacher, engineer",Lillian Taiz ( m.  1926; died 1941) Bettye Ackerman ( m.  1956; His Death 1984),,,,128.0765518799154
10,10,Amy Adams,1974-08-20,Darren Le Gallo ( m.  2015),1,,Actress,"Vicenza , Italy",,,,,,,44.63062212091966,
11,11,Brooke Adams,1949-02-08,Tony Shalhoub  ( m.  1992),2,,Actress,"New York City , U.S.",1953-10-09,"Green Bay, Wisconsin , U.S.",Actor,Brooke Adams  ( m.  1992),2,-4.665393539908417,70.1588670540805,65.4934735141721
12,12,Edie Adams,1927-04-16,Ernie Kovacs ( m.  1954; died 1962) Martin Mills ( m.  1964;  div.  1971) Pete Candoli ( m.  1972;  div.  1988),2,,"Businesswoman, singer, actress, comedienne","Kingston, Pennsylvania , U.S.",,,,,,,91.97724799277192,
13,13,Jane Adams,1965-04-01,,,"University of Washington, SeattleCornish College of the ArtsJuilliard School (BFA)",Actress,"Washington, D.C. , U.S.",,,,,,,54.016167340876265,
14,14,Joey Lauren Adams,1968-01-09,"Beverly Hills ,  California , U.S.",,,"Actress, director","North Little Rock, Arkansas , U.S.",,,,,,,51.24266754279691,
15,15,Julie Adams,1926-10-17,Leonard Stern ( m.  1951;  div.  1953) Ray Danton ( m.  1954;  div.  1981),2,,Actress,"Waterloo, Iowa , U.S.",,"New York City , U.S.","Publisher, director, writer, producer",Julie Adams ( m.  1951;  div.  1953) Gloria Stroock  ( m.  1956),2,,92.47280916103685,
16,16,Lillian Adams,1922-05-13,,,,Actress,"New York City , U.S.",,,,,,,96.90274269834426,
17,17,Shohreh Aghdashloo,1952-05-11,Aydin Aghdashloo ( m.  1972;  div.  1979) Houshang Touzie  ( m.  1987),1,,Actress,"Tehran ,  Iran",1940-10-30,"Rasht , Iran",Painter art historian art critic,"
 Shohreh Aghdashloo ( m.  1972;  div.  1979) 
 Firouzeh Athari  ( m.  1981) 
",Tara (from Firouzeh Athari)Takin (from Firouzeh Athari),11.529326406428606,66.90623352977816,78.43555993620677
18,18,Dianna Agron,1986-04-30,Winston Marshall  ( m.  2016),,,"
 Actress 
 singer 
 dancer 
","Savannah, Georgia , U.S.",,,,,,,32.93702129407175,
19,19,Christina Aguilera,1980-12-18,"Los Angeles ,  California , U.S.",2,,Singer songwriter actress television personality,"New York City ,  New York , U.S.",,,,,,,38.30058112076223,
20,20,Lexi Ainsworth,1992-10-28,,,,Actress,"Oklahoma City, Oklahoma , U.S.",,,,,,,26.43996796648802,
21,21,Jessica Alba,1981-04-28,"Los Angeles, California , U.S.",3,,"Actress, businesswoman","Pomona, California , U.S.",,,,,,,37.94191530284674,
22,22,Lola Albright,1924-07-20,Warren Dean ( m.  1944;  div.  1949) Jack Carson ( m.  1952;  div.  1958) Bill Chadney ( m.  1961;  div.  1975),,,"Actress, singer, model","Akron, Ohio , U.S.",,,,,,,94.71515499976043,
23,23,Erika Alexander,1969-11-19,Tony Puryear ( m.  1997;  div.  2017),,Philadelphia High School for Girls,Actress,"Winslow, Arizona , U.S.",,,,,,,49.38089077804472,
24,24,Jaimie Alexander,1984-03-12,,,,Actress,"Greenville, South Carolina , U.S.",,,,,,,35.06985085251579,
25,25,Khandi Alexander,1957-09-04,,,,"Actress, dancer, choreographer","Jacksonville ,  Florida , U.S.",,,,,,,61.58921812220648,
26,26,,1973-05-17,,2,,Actress,,,,,,,,45.89005934413438,
27,27,Tatyana Ali,1979-01-24,Harvard University   (2002),1,,"Actress, singer","North Bellmore ,  Long Island, New York , U.S.",,,,,,,40.200688583612255,
28,28,Ana Alicia,1956-12-12,Gary R. Benz ( m.  1994;  div.  2016),2,,"Actress, singer, producer","Mexico City , Mexico [1]",,,,,,,62.31750138606542,
29,29,Debbie Allen,1950-01-16,Win Wilford ( m.  1975–1983) Norm Nixon  ( m.  1984),,Howard University,"Actress, choreographer, dancer, film director, television director, television producer","Houston, Texas , U.S.",,,,,,,69.22250285769044,
30,30,Elizabeth Allen,1929-01-25,Baron Karl von Vietinghoff-Scheel ( m.  1952;  div.  1955),,,Actress,"Jersey City, New Jersey , U.S.",,,,,,,90.1976084382294,
31,31,Joan Allen,1956-08-20,Peter Friedman ( m.  1990;  div.  2002),1,,Actress,"Rochelle, Illinois , U.S.",1949-04-24,"New York City, New York , U.S.",Actor,Joan Allen ( m.  1990;  div.  2002),1,7.323901243694258,62.629622784862114,69.95352402855637
32,32,Karen Allen,1951-10-05,Kale Browne ( m.  1988;  div.  1998),1,,Actress,"Carrollton, Illinois , U.S.",1949-06-16,"San Rafael, California , U.S.",Actor,Karen Allen ( m.   1988 ;  div.  1998),1,2.302579792877335,67.50583516430865,69.80841495718597
33,33,Krista Allen,1971-04-05,Justin Moritt ( m.  1996;  div.  1999)  1 son Mams Taylor ( m.  2010;  div.  2012),1,,"
 Actress 
 model 
","Ventura, California , U.S.",,,,,,,48.00646146053649,
34,34,Laura Allen,1974-03-21,Bruce Weyman ( m.  2006),2,,Actress,"Portland, Oregon , U.S.",,,,,,,45.04678398598192,
35,35,Nancy Allen,1950-06-24,Brian De Palma ( m.  1979;  div.  1984) Craig Shoemaker ( m.  1992;  div.  1993) Randy Bailey ( m.  1998;  div.  2007),,High School of Performing Arts,Actress,"The Bronx ,  New York City , U.S.",1940-09-11,"Newark, New Jersey , U.S.","Film director, screenwriter",Nancy Allen ( m.  1979;  div.  1983) Gale Anne Hurd ( m.  1991;  div.  1993) Darnell Gregorio ( m.  1995;  div.  1997),2,9.782541735969938,68.78717564357926,78.5697173795492
36,36,Kirstie Alley,1951-01-12,Bob Alley ( m.  1970;  div.  1977) Parker Stevenson ( m.  1983;  div.  1997),2,,"Actress, spokesmodel","Wichita, Kansas , U.S.",,,,,,,68.23411842816759,
37,37,Jamie Anne Allman,,Marshall Allman  ( m.  2006),3,,Actress,"Parsons, Kansas , U.S.",1984-04-05,"Austin, Texas , U.S.",Actor,Jamie Anne Brown  ( m.  2006),3,,,35.00414108434807
38,38,June Allyson,1917-10-07,Dick Powell ( m.  1945; died 1963) Alfred Glenn Maxwell ( m.  1963;  div.  1965) ( m.  1966;  div.  1970) David Ashrow  ( m.  1976),2,,"Actress, dancer, singer","The Bronx , New York, U.S.",1904-11-14,"Mountain View, Arkansas , U.S.","Actor, singer, producer, director","Actor, singer, producer, director",4,12.895542002915871,101.49968856307795,114.39523056599383
39,39,Daniella Alonso,1978-09-22,"Actress, fashion model",,,"Actress, fashion model","New York City , U.S.",,,,,,,40.54018905247883,
40,40,Trini Alvarado,1967-01-10,Robert McNeill,,,Actress,"New York City , U.S.",,,,,,,52.23926569334073,
41,41,,1978-02-20,,2,,"Actress, singer",,,,,,,,41.126101151974375,
42,42,Mädchen Amick,1970-12-12,David Alexis ( m.  1992),2,,"Actress, director, writer","Sparks, Nevada , U.S.",,,,,,,48.31858285933318,
43,43,Suzy Amis Cameron,1962-01-05,Sam Robards ( m.  1986;  div.  1994) James Cameron  ( m.  2000),4,,"Actress,  model","Oklahoma City ,  Oklahoma , U.S.",1961-12-16,"New York City , U.S.",Actor,Suzy Amis Cameron ( m.  1986;  div.  1994) Sidsel Jensen  ( m.  1997),3,0.05475814013977015,57.25237342313668,57.30713156327646
44,44,Eva Amurri Martino,1985-03-15,Kyle Martino  ( m.  2011),2,,Actress,"New York City , U.S.",,,,,,,34.06230107394402,
45,45,Kristina Anapau,1979-10-30,,,,"Actress, writer","Hawaii , U.S.",,,,,,,39.436812528662465,
46,46,Andrea Anders,1975-05-10,Matt LeBlanc  (2006–2015),,,Actress,"Madison, Wisconsin , U.S.",,,,,,,43.910552578081685,
47,47,Gillian Anderson,1968-08-09,Clyde Klotz ( m.  1994;  div.  1997) Julian Ozanne ( m.  2004;  div.  2006),3,DePaul University (BFA),"Actress, writer, producer, director","Chicago ,  Illinois , U.S.",1961-06-08,Canada,"Art director, production designer",Gillian Anderson ( m.  1994;  div.  1997),1,7.170578451302902,50.65949335030836,57.83007180161126
48,48,Loni Anderson,1945-08-05,Bruce Hasselberg ( m.  1964;  div.  1966) Ross Bickell ( m.  1973;  div.  1981) Burt Reynolds ( m.  1988;  div.  1993) Bob Flick  ( m.  2008),2,,Actress,"Saint Paul ,  Minnesota , U.S.",,,,,,,73.67160174404677,
49,49,Mary Anderson,1918-04-03,Leonard M. Behrens ( m.  1940;  div.  1950) Leon Shamroy ( m.  1953; died 1974),1,,Actress,"Birmingham, Alabama , U.S.",,,,,,,101.012341115834,
50,50,Melody Anderson,1955-12-03,,,,"Actress ,  social worker work ,  public speaker","Edmonton, Alberta , Canada",,,,,,,63.34421651368611,
51,51,Nicole Gale Anderson,1990-08-29,,,,Actress,"Rochester, Indiana , U.S.",,,,,,,28.605652409015928,
52,52,Jennifer Aniston,1969-02-11,Brad Pitt ( m.  2000;  div.  2005) Justin Theroux ( m.  2015;  sep.  2017),,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,Actress film producer businesswoman,"Sherman Oaks, California , U.S.",1963-12-18,"Shawnee, Oklahoma , U.S.",Actor film producer,Jennifer Aniston ( m.  2000;  div.  2005) Angelina Jolie ( m.  2014;  sep.  2016),6,5.152740987152371,50.1502426470085,55.30298363416087
53,53,Odette Annable,1985-05-10,Dave Annable  ( m.   2010 ),1,,Actress,"Los Angeles ,  California , U.S.",1979-09-15,"Suffern, New York , U.S.",Actor,Odette Annable  ( m.  2010),1,5.65104006242428,33.90897828155267,39.56001834397695
54,54,Susan Anton,1950-10-12,Jack Stein ( m.  1975;  div.  1980) Jeff Lester  ( m.  1992),,,"Actress, singer","Oak Glen, California , U.S.",,,,,,,68.48600587281052,
55,55,Shiri Appleby,1978-12-07,Jon Shook ( m.  2013),2,,"Actress, director","Los Angeles ,  California , U.S.",,,,,,,40.332108119947705,
56,56,Christina Applegate,1971-11-25,Johnathon Schaech ( m.  2001;  div.  2007) Martyn LeNoble  ( m.  2013),1,,Actress,"Hollywood ,  California , U.S.",1969-09-10,"Edgewood, Maryland , U.S.","
 Actor 
 writer 
 producer 
",Christina Applegate ( m.  2001;  div.  2007) Jana Kramer ( m.  2010;  div.  2011) Julie Solomon  ( m.  2013),1 (with Solomon),2.2067530476327373,47.36579122090118,49.57254426853392
57,57,Anne Archer,1947-08-24,William Davis (1969–1977) Terry Jastrow (1979–present),Jeffrey Tucker Jastrow (b. 1984) Tommy Davis,,Actress,"Los Angeles, California , U.S.",,,,,,,71.62090939581238,
58,58,Beverly Archer,1948-07-19,Robert Bernard ( m.  1976),,,,"Oak Park, Illinois , U.S.",,,,,,,70.71740008350616,
59,59,Eve Arden,1908-04-30,Ned Bergen ( m.  1939;  div.  1947) Brooks West ( m.  1952; died 1984),4,,Actress,"Mill Valley, California , U.S.",,,,,,,110.93725401616734,
60,60,Ashley Argota,1993-01-09,,,,"Actress, singer","Redlands, California , U.S.",,,,,,,26.240100754977856,
61,61,Jillian Armenante,1968-07-05,Alice Dodd,2,,Actress,"Paterson, New Jersey , U.S.",,,,,,,50.75532009555295,
62,62,Bess Armstrong,1953-12-11,Chris Carreras ( m.  1983;  div.  1984) John Fiedler  ( m.  1985),3,,Actress,"Baltimore ,  Maryland , U.S.",,,,,,,65.32098537273181,
63,63,Samaire Armstrong,1980-10-31,,1,,Actress,"Tokyo, Japan",,,,,,,38.43200065709768,
64,64,Alexis Arquette,1969-07-28,,,,"Actress, musician, singer,  cartoonist","Los Angeles ,  California , U.S.",,,,,,,49.693012176841414,
65,65,Patricia Arquette,1968-04-08,Nicolas Cage ( m.  1995;  div.  2001) Thomas Jane ( m.  2006;  div.  2011),2,,Actress,"Chicago ,  Illinois , U.S.",1964-01-07,"Long Beach, California , U.S.","Actor, director, producer",Patricia Arquette ( m.  1995;  div.  2001) Lisa Marie Presley ( m.  2002;  div.  2004) Alice Kim ( m.  2004;  div.  2016) Erika Koike ( m.  2019;  sep.  2019),2,4.251969581853152,50.996255912167946,55.24822549402109
66,66,Rosanna Arquette,1959-08-10,Anthony Greco ( m.  1979;  div.  1980) James Newton Howard ( m.  1986;  div.  1987) John Sidel ( m.  1993;  div.  1999) Todd Morgan  ( m.  2013),1,,"Actress, film director, film producer","New York City , U.S.",,,,,,,59.65899368227958,
67,67,Beatrice Arthur,1922-05-13,Linden Hall School for Girls Blackstone College for Girls Franklin Institute The New School,2,,"Actress, comedienne, singer, activist","Brooklyn ,  New York City , U.S.",1922-06-10,United States,"Producer ,  screenwriter ,  film director",Bea Arthur ( m.  1947;  div.  1950),,-0.07666139619567822,96.90274269834426,96.82608130214857
68,68,Jean Arthur,1900-10-17,"Julian Anker ( m.  1928–1928) Frank Ross, Jr. ( m.  1932;  div.  1949)",,,Actress,"Plattsburgh, New York , U.S.",,,,,,,118.47197409939972,
69,69,Katie Aselton,1978-10-01,Mark Duplass  ( m.  2006),2,,"Actress, film director/producer","Milbridge, Maine , U.S.",1976-12-07,"New Orleans ,  Louisiana , U.S.","
 Film director 
 film producer 
 screenwriter 
 actor 
 musician 
 film editor 
 author 
",Katie Aselton  ( m.  2006),2,1.8152323456333805,40.515547889415934,42.33078023504932
70,70,Ashanti,1980-10-13,"
 Ja Rule 
 Lloyd 
 T.I. 
 Vita 
 Irv Gotti 
 Fat Joe 
 Nelly 
 Cadillac Tah 
 Black Child 
",,,"
 Singer 
 songwriter 
 dancer 
 actress 
","Glen Cove, New York , U.S.",,,,,,,38.48128298322347,
71,71,Elizabeth Ashley,1939-08-30,James Farentino ( m.  1962;  div.  1965) George Peppard ( m.  1966;  div.  1972) James McCarthy ( m.  1975;  div.  1981),1,,Actress,"Ocala, Florida , U.S.",1938-02-24,"Brooklyn, New York , U.S.",,Elizabeth Ashley ( m.  1962;  div.  1965) Michele Lee ( m.  1966;  div.  1982) Debrah Mullowney ( m.  1985;  div.  1988) Stella Farentino  ( m.  1994),1,1.5113246678576562,79.60464622819086,81.11597089604851
72,72,Mary Astor,1906-05-03,Kenneth Hawks ( m.  1928; his death 1930) Franklyn Thorpe ( m.  1931;  div.  1935) Manuel del Campo ( m.  1936;  div.  1941) Thomas Gordon Wheelock ( m.  1945;  div.  1955),2,,Actress,"Quincy, Illinois , U.S.",1898-08-12,"Goshen, Indiana",Film director,Mary Astor  (1928–1930; his death),,7.720897759707592,112.93045031725498,120.65134807696256
73,73,Margaret Avery,1944-01-20,Robert Gordon Hunt ( m.  1974;  div.  1980),1,,Actress,"Mangum, Oklahoma , U.S.",,,,,,,75.21304338898129,
74,74,Nicki Aycox,1975-05-26,,,,"
 Actress 
 musician 
","Hennessey ,  Oklahoma , U.S.",,,,,,,43.86674606596987,
75,75,Rochelle Aytes,1976-05-17,CJ Lindsey ( m.  2016),,Fiorello H. LaGuardia High SchoolState University of New York at Purchase,"Actress , model","Harlem, New York City ,  New York , U.S.",,,,,,,42.88931326447497,
76,76,Candice Azzara,1945-05-18,,,,Actress,"Brooklyn ,  New York , U.S.",,,,,,,73.88789639759885,
77,77,Lauren Bacall,1924-09-16,Humphrey Bogart ( m.  1945; died 1957) Jason Robards ( m.  1961;  div.  1969),"3, including  Sam Robards",,"
 Actress 
 model 
","The Bronx ,  New York City , U.S.",1899-12-25,"New York City , U.S.",Actor,Helen Menken ( m.  1926;  div.  1927) Mary Philips ( m.  1928;  div.  1937) Mayo Methot ( m.  1938;  div.  1945) Lauren Bacall ( m.  1945; his death 1957),2,24.726038180113214,94.5563563933551,119.28239457346831
78,78,Barbara Bach,1947-08-27,Count Augusto Gregorini ( m.  1966;  div.  1978) Sir  Ringo Starr  ( m.  1981),"2, including  Francesca Gregorini",,"Actress, model","Queens ,  New York City , New York, U.S.",,,,,,,71.61269567479141,
79,79,Catherine Bach,1954-03-01,David Shaw ( m.  1976;  div.  1981) Peter Lopez ( m.  1990; died 2010),2,"University of California, Los Angeles (withdrawn)",Actress,"Warren, Ohio , U.S.",,,,,,,65.10195281217274,
80,80,Mary Badham,1952-10-07,Richard Wilt ( m.  1975),2,,"Child actress, art restorer","Birmingham, Alabama , U.S.",,,,,,,66.49828538573688,
81,81,Jane Badler,1953-12-31,Stephen  Hains [1],2,,"Actress, singer","Brooklyn ,  New York City , U.S.",,,,,,,65.26622723259204,
82,82,Erykah Badu,1971-02-26,Jay Electronica  (2004–2009) Carl Jones (2013–2018),3,,Singer songwriter record producer Rapper disc-jockey musician actress,"Dallas ,  Texas , U.S.",,,,,,,48.11050192680206,
83,83,Katherine Bailess,1980-04-24,,,St. Aloysius Catholic High School,"Actress, dancer, singer-songwriter","Vicksburg, Mississippi , U.S.",,,,,,,38.9522029884255,
84,84,Laura Bailey,,Travis Willingham  ( m.  2011),1,,"Voice actress, voice director, actress","Mississippi , U.S. [1]",,,"Actor, voice actor",Laura Bailey  ( m.  2011),1,,,
85,85,Pearl Bailey,1918-03-29,John Randolph Pinkett ( m.  1948–1952) Louie Bellson  ( m.  1952–1990),2,,"Actress, singer","Newport News, Virginia , U.S.",,,,,,,101.02603065086895,
86,86,Barbara Bain,1931-09-13,Martin Landau ( m.  1957;  div.  1993),Juliet Landau Susan Bain Landau Finch,,"Actress, former dancer and model","Chicago ,  Illinois , U.S.",1928-06-20,"Brooklyn, New York City , U.S.","Actor, acting coach",Barbara Bain ( m.  1957;  div.  1993),Susan Landau FinchJuliet Landau,3.230730268246439,87.56647980451343,90.79721007275988
87,87,Fay Bainter,1893-12-07,Reginald Venable  (m. 1921–1964; his death; 1 son),,,"Actress, Singer","Los Angeles, California , U.S. [1]",,,,,,,125.33043115190593,
88,88,Diora Baird,1983-04-06,Jonathan Togo ( m.  2013;  div.  2016),1 [1],,"Actress, model","Miami ,  Florida , United States",1977-08-25,"Rockland, Massachusetts , US",Actor,Diora Baird ( m.  2013;  div.  2016),1,5.612709364326441,36.00347714189888,41.61618650622532
89,89,Blanche Baker,1956-12-20,Bruce Van Dusen ( m.  1983;  div.  2002) Mark Magill ( m.  2003),4,,Actress,"New York City, New York , U.S.",,,,,,,62.295598130009516,
90,90,Carroll Baker,1931-05-28,"
 Louie Ritter ( m.  1953;  div.  1953) 
 Jack Garfein ( m.  1955;  div.  1969) 
 Donald Burton ( m.  1978; died 2007) 
","
 Blanche Baker 
 Herschel Garfein 
",,Actress writer,"Johnstown ,  Pennsylvania , U.S.",,,,,,,87.8621737612682,
91,91,Diane Baker,1938-02-25,,,,"Actress, producer","Hollywood ,  Los Angeles ,  California , U.S.",,,,,,,81.11323298904152,
92,92,Kathy Baker,1950-06-08,Donald Camillieri ( m.  1985;  div.  1999)   Steven Robman  ( m.  2003),2,"California Institute of the ArtsUniversity of California, Berkeley (BA)",Actress,"Midland, Texas , U.S.",,,,,,,68.83098215569109,
93,93,Leigh-Allyn Baker,1972-03-13,Keith Kauffman (m. 2004),2 [2],,"Actress, voice artist","Murray, Kentucky , U.S. [3]",,,,,,,47.06735935713944,
94,94,Brenda Bakke,1963-05-15,,,,Actress,"Klamath Falls, Oregon , U.S.",,,,,,,55.89710945467737,
95,95,Fairuza Balk,1974-05-21,,,,"Actress, musician","Point Reyes ,  California , U.S.",,,,,,,44.87977165855562,
96,96,Lucille Ball,1911-08-06,Desi Arnaz ( m.  1940;  div.  1960) Gary Morton  ( m.  1961),Lucie Arnaz Desi Arnaz Jr.,,"Actress, comedian, model, film studio executive, TV producer","Jamestown, New York , U.S.",1917-03-02,"Santiago de Cuba ,  Republic of Cuba  (present-day  Cuba )","Actor, musician, producer",Lucille Ball ( m.   1940 ;  div.   1960 ) Edith Mack Hirsch ( m.   1963 ; died 1985),Lucie ArnazDesi Arnaz Jr.,-5.571640759221613,107.67093095683005,102.09929019760844
97,97,Kaye Ballard,1925-11-20,,,,"Actress, singer, comedian","Cleveland, Ohio , U.S.",,,,,,,93.37905638035004,
98,98,Talia Balsam,1959-03-05,George Clooney ( m.  1989;  div.  1993) John Slattery  ( m.  1998),1,,Actress,"New York City , U.S.",1961-05-06,"Lexington, Kentucky , U.S.","Actor, screenwriter, producer with  Smoke House Pictures , director","
 Talia Balsam ( m.  1989;  div.  1993) 
 Amal Alamuddin  ( m.   2014 ) 
",2,-2.1711602565418864,60.09158298938377,57.92042273284188
99,99,Anne Bancroft,1931-09-17,Martin May ( m.  1953;  div.  1957) Mel Brooks  ( m.  1964),Max Brooks,,"Actress, director, screenwriter and singer","The Bronx , New York, U.S.",,,,,,,87.55552817648548,
100,100,Tallulah Bankhead,1902-01-31,John Emery ( m.  1937;  div.  1941),,,Actress,"Huntsville, Alabama , U.S.",1905-05-20,"New York City ,  New York , U.S.",Actor,Patricia Calvert  ( m.  1926–1929) [1] Tallulah Bankhead ( m.  1937;  div.  1941) Tamara Geva ( m.  1942;  div.  1963) [2],,-3.2991779434211517,117.18241989910813,113.88324195568697
101,101,Elizabeth Banks,1974-02-10,Max Handelman  ( m.  2003),2,University of Pennsylvania (BA)American Conservatory Theater (MFA),Actress director producer,"Pittsfield, Massachusetts , U.S.",1973-05-03,"Portland ,  Oregon , U.S.","Sportswriter, film producer, blogger",Elizabeth Banks  ( m.  2003),2,0.7748276829777476,45.153562359254465,45.928390042232216
102,102,Tyra Banks,1973-12-04,Erik Asla (2013–2017),1,,"
 Television personality 
 producer 
 businesswoman 
 model 
 actress 
 singer 
 author 
","Inglewood, California , U.S.",,,,,,,45.33974003572968,
103,103,Christine Baranski,1952-05-02,Matthew Cowles ( m.  1983; died 2014),2,Juilliard School (BFA),"
 Actress 
 singer 
 producer 
","Buffalo ,  New York , U.S.",1944-09-28,"New York City , U.S.",Actor,Kathleen Dezina  ( m.  1980; divorced) Christine Baranski  ( m.  1983),2,7.592216130379132,66.93087469284106,74.52309082322019
104,104,Adrienne Barbeau,1945-06-11,John Carpenter ( m.  1979;  div.  1984) Billy Van Zandt ( m.  1992;  div.  2018),3,,"Actress, singer, writer","Sacramento, California , U.S.",1948-01-16,"Carthage ,  New York , U.S.","
 Film director 
 screenwriter 
 producer 
 editor 
 composer 
 musician 
",Adrienne Barbeau ( m.  1979;  div.  1984) Sandy King  ( m.  1990),1,-2.5982737496320936,73.82218662943113,71.22391287979904
105,105,Ellen Barkin,1954-04-16,Gabriel Byrne ( m.  1988;  div.  1999)     Ronald O. Perelman ( m.  2000;  div.  2006),2,,Actress,"The Bronx ,  New York , U.S.",1950-05-12,"Dublin , Ireland","Actor, film director, film producer, screenwriter, author","
 Ellen Barkin ( m.  1988;  div.  1999) 
 Hannah Beth King ( m.  2014) 
",3,3.9288965550285084,64.97600908985126,68.90490564487978
106,106,Joanna Eyles,1934-11-15,"Richard Edward Herndon (m. 1955–?; divorced) Lawrence Dobkin (m. 1961–1967; divorced) Jack Lionel Warner (married 1980–2012, his death)",,,,"Boston ,  Massachusetts",,,,,,,84.39324558341376,
107,107,Priscilla Barnes,1954-12-07,Ted Monte,,,Actress,"Fort Dix, New Jersey , U.S.",,,,,,,64.33260094320896,
108,108,Majel Barrett,1932-02-23,Gene Roddenberry ( m.  1969; died 1991),Rod Roddenberry,Shaker Heights High School,"Actress, producer, voice actress","Columbus , Ohio, U.S.",1921-08-19,"El Paso, Texas , U.S.","Television writer ,  producer","Bel Air, Los Angeles","3, including Rod Roddenberry",10.513562906835869,87.12020096237431,97.63376386921018
109,109,Barbara Barrie,1931-05-23,Jay Harnick ( m.  1964; died 2007),2,,"Actress, singer, author","Chicago ,  Illinois , U.S.",,,,,,,87.87586329630314,
110,110,Dana Barron,1966-04-22,,1,,Actress,"New York City ,  New York , U.S.",,,,,,,52.9593352361787,
111,111,Drew Barrymore,1975-02-22,Jeremy Thomas ( m.  1994;  div.  1995) Tom Green ( m.  2001;  div.  2002) Will Kopelman ( m.  2012;  div.  2016),2,,"
 Actress 
 producer 
 director 
 author 
 model 
 entrepreneur 
","Culver City, California , U.S",,,,,,,44.1213714176198,
112,112,Ethel Barrymore,1879-08-15,Russell Griswold Colt ( m.  1909;  div.  1923),3,,Actress,"Philadelphia ,  Pennsylvania , U.S.",,,,,,,139.64420898444183,
113,113,Roseanne Barr,1952-11-03,Bill Pentland ( m.  1974;  div.  1990) Tom Arnold ( m.  1990;  div.  1994) Ben Thomas ( m.  1995;  div.  2002),5,,"Actress, comedian, writer, producer, politician","Salt Lake City , Utah, U.S.",,,,,,,66.42436189654818,
114,114,Bonnie Bartlett,1929-06-20,William Daniels  ( m.  1951),3,,"Film, television actress","Wisconsin Rapids, Wisconsin , U.S.",,,,,,,89.79787401520908,
115,115,Mischa Barton,1986-01-24,,,,"
 Actress 
 fashion model 
 fashion designer 
","Hammersmith ,  London , England",,,,,,,33.19986036674264,
116,116,Kim Basinger,1953-12-08,"
 Ron Snyder ( m.  1980;  div.  1989) 
 Alec Baldwin ( m.  1993;  div.  2002) 
",Ireland Baldwin,,"
 Actress 
 model 
 singer 
 producer 
 animal rights activist 
","Athens, Georgia ,  U.S.",,,,,,,65.32919909375278,
117,117,Angela Bassett,1958-08-16,Courtney B. Vance  ( m.  1997),2,,Actress,"New York City ,  New York , U.S.",1960-03-12,"Detroit ,  Michigan , U.S.",Actor,Angela Bassett  ( m.  1997),2,-1.5715586220114033,60.641902297788455,59.07034367577705
118,118,Justine Bateman,1966-02-19,Mark Fluent ( m.  2001),2,,"Writer, director, producer, actress","Rye ,  New York , U.S.",,,,,,,53.12908547061199,
119,119,Kathy Bates,1948-06-28,Tony Campisi ( m.  1991;  div.  1997),,,"Actress, director","Memphis, Tennessee , U.S.",,,,,,,70.77489613065292,
