,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl.1,num_of_m,name_sp_sp_cl.1,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,geo_distance,zodiac,zodiac_sp,sex,divorce,year_m_1,year_div_1,year_m_sp_1,year_div_sp_1,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1
2,Willie Aames,1960-07-15,Vicki Weatherman ( m.  1979–1984) Maylo McCaslin ( m.  1986–2009) Winnie Hung ( m.  2014),2,,"Actor, director, television producer, screenwriter","Newport Beach, California, U.S.",,,,,,,58.81024251011314,,"['Vicki Weatherman', 'Maylo McCaslin', 'Winnie Hung']","[1979, 1986, 2014]",,,,,2.0,,"['Vicki Weatherman', 'Maylo McCaslin', 'Winnie Hung']",3.0,,,5.0,,9mupk2n,,,6.0,,M,1.0,1979.0,,,,19.0,,,
5,Bruce Abbott,1954-07-28,Linda Hamilton ( m.  1982;  div.  1989) Kathleen Quinlan  ( m.  1994),2,,Actor,"Portland, Oregon, U.S.",1956-09-26,"Salisbury, Maryland, U.S.",Actress,"
 Bruce Abbott ( m.  1982;  div.  1989) 
 James Cameron ( m.  1997;  div.  1999) 
",2,-2.1656844425279096,64.77614187834111,62.61045743581321,"['Linda Hamilton', 'Kathleen Quinlan']","[1982, 1994]",[1989],"['Bruce Abbott', 'James Cameron']","[1982, 1997]","[1989, 1999]",2.0,2.0,"['Linda Hamilton', 'Kathleen Quinlan']",2.0,"['Bruce Abbott', 'James Cameron']",2.0,1.0,1.0,c20fbmg,dqf4pxq,20000000.0,7.0,9.0,M,1.0,1982.0,1989.0,1982.0,1982.0,28.0,35.0,26.0,26.0
6,Bud Abbott,,Betty Smith ( m.  1918),2,,"Actor, comedian, producer","Asbury Park, New Jersey, U.S.",,,,,,,,,['Betty Smith'],[1918],,,,,2.0,,['Betty Smith'],1.0,,,3.0,,dr5kgcf,,,,,M,0.0,1918.0,,,,,,,
8,Philip Abbott,,Jane Dufrayne ( m.  1950–1998),,,Actor,"Lincoln, Nebraska, U.S.",,,,,,,,,['Jane Dufrayne'],[1950],,,,,,,['Jane Dufrayne'],1.0,,,1.0,,9z70pmz,,,,,M,1.0,1950.0,,,,,,,
10,Jake Abel,1987-11-18,Allie Wood ( m.  2013),,,"Model, actor, singer","Canton, Ohio, U.S.",,,,,,,31.466765231318927,,['Allie Wood'],[2013],,,,,,,['Allie Wood'],1.0,,,3.0,,dpq0h5n,,,10.0,,M,0.0,2013.0,,,,26.0,,,
13,F. Murray Abraham,1939-10-24,Kate Hannan  ( m.  1962),2,,Actor,"Pittsburgh, Pennsylvania, U.S.",,,,,,,79.53619855301616,,['Kate Hannan'],[1962],,,,,2.0,,['Kate Hannan'],1.0,,,1.0,,dppn59u,,,10.0,,M,0.0,1962.0,,,,23.0,,,
17,Kirk Acevedo,1971-11-27,Kiersten Warren  ( m.  2005),"2, including stepdaughter Misti Traya",,Actor,"Brooklyn, New York City, U.S.",,"Iowa, U.S.",Actress,Jonathan Lemkin ( m.  1990;  div.  2005) Kirk Acevedo  ( m.  2005),"2, including Misti Traya",,47.44245261709686,,['Kiersten Warren'],[2005],,"['Jonathan Lemkin', 'Kirk Acevedo']","[1990, 2005]",[2005],2.0,2.0,['Kiersten Warren'],1.0,"['Jonathan Lemkin', 'Kirk Acevedo']",2.0,1.0,1.0,dr5rmm5,9zmy1x8,20000000.0,11.0,,M,0.0,2005.0,,1990.0,1990.0,34.0,,,
18,Jensen Ackles,1978-03-01,Danneel Harris  ( m.  2010),3,,"Actor, director","Dallas, Texas, U.S.",1979-03-18,"Lafayette, Louisiana, U.S.",Actress,Jensen Ackles [1]  ( m.  2010),3,-1.04588047666961,41.18359719912113,40.13771672245152,['Danneel Harris'],[2010],,['Jensen Ackles 1'],[2010],,3.0,3.0,['Danneel Harris'],1.0,['Jensen Ackles 1'],1.0,2.0,1.0,9vg4mqf,9vqefn1,625441.0,2.0,2.0,M,0.0,2010.0,,2010.0,2010.0,32.0,,31.0,31.0
19,Rodolfo Acosta,1920-07-29,Jeanine Cohen  (m. 1945-19??) [1],2[1],,,"Chamizal, Texas, U.S.",,,,,,,98.77273318411741,,['Jeanine Cohen'],[1945],,,,,,,['Jeanine Cohen'],1.0,,,,,9tsk9x4,,,7.0,,M,0.0,1945.0,,,,25.0,,,
26,Don Adams,1923-04-13,Adelaide Efantis ( m.  1947;  div.  1960) Dorothy Bracken ( m.  1960;  div.  1976) Judy Luciano ( m.  1977;  div.  1990),7; including Cecily Adams,,"Actor, comedian, voice actor, director","New York City, U.S.",,,,,,,96.06768106121277,,"['Adelaide Efantis', 'Dorothy Bracken', 'Judy Luciano']","[1947, 1960, 1977]","[1960, 1976, 1990]",,,,7.0,,"['Adelaide Efantis', 'Dorothy Bracken', 'Judy Luciano']",3.0,,,5.0,,dr5regw,,,3.0,,M,1.0,1947.0,1960.0,,,24.0,37.0,,
29,Mason Adams,1919-02-26,Margot Feinberg ( m.  1957),2,,Actor,"Brooklyn, New York, U.S.",,,,,,,100.19370692074443,,['Margot Feinberg'],[1957],,,,,2.0,,['Margot Feinberg'],1.0,,,1.0,,dr5rmm5,,,2.0,,M,0.0,1957.0,,,,38.0,,,
30,Nick Adams,1931-07-10,Carol Nugent ( m.  1959;  div.  1965),"2, including Jeb Stuart Adams",,"Actor, screenwriter","Nanticoke, Pennsylvania, U.S.",1937-07-07,"Los Angeles, California, U.S.",,Nick Adams ( m.  1959;  div.  1965),"2, including Jeb Stuart Adams",-5.993278438297844,87.82658097017735,81.83330253187951,['Carol Nugent'],[1959],[1965],['Nick Adams'],[1959],[1965],2.0,2.0,['Carol Nugent'],1.0,['Nick Adams'],1.0,2.0,,dr3fqmn,9q5ctr1,20000000.0,6.0,6.0,M,1.0,1959.0,1965.0,1959.0,1959.0,28.0,34.0,22.0,22.0
31,R. J. Adams,1942-09-20,Diane Adams ( m.  1968),Rob Adams,,"Actor, acting coach, radio personality","St. Catharines, Ontario, Canada",,,,,,,76.62854131159435,,['Diane Adams'],[1968],,,,,,,['Diane Adams'],1.0,,,5.0,,dpxts8y,,,8.0,,M,0.0,1968.0,,,,26.0,,,
32,Rob Adams,1970-02-27,Amy Adams ( m.  1996),3,,"Actor, acting coach","St. Louis, Missouri, U.S.",,,,,,,49.18923728755554,,['Amy Adams'],[1996],,,,,3.0,,['Amy Adams'],1.0,,,3.0,,9yzgery,,,2.0,,M,0.0,1996.0,,,,26.0,,,
37,Anthony Mark Addabbo,1960-09-14,Hildellizza Pattino ( m.  1999–2004),Brandon Addabbo,,"
Actor
model
","Coral Gables, Florida",,,,,,,58.64323018268684,,['Hildellizza Pattino'],[1999],,,,,,,['Hildellizza Pattino'],1.0,,,2.0,,dhwfmx3,,,8.0,,M,1.0,1999.0,,,,39.0,,,
38,Wesley Addy,1913-08-04,Celeste Holm ( m.  1966; died 1996),,UCLA,Actor,"Omaha, Nebraska, U.S.",1917-04-29,"Manhattan, New York, U.S.","Actress, singer",Ralph Nelson  (m. 1936–1939; divorced)  Francis Davies (m. 1940–1945; divorced)  A. Schuyler Dunning (m. 1946–1953; divorced)  Wesley Addy  (m. 1961–1996; his death)  Frank Basile (m. 2004–2012; her death),"2, including Ted Nelson",-3.7345051575323254,105.75713395894509,102.02262880141278,['Celeste Holm'],[1966],,,,,,2.0,['Celeste Holm'],1.0,,,1.0,2.0,9z7f8yw,dr72h8r,20000000.0,7.0,4.0,M,0.0,1966.0,,,,53.0,,,
40,Paul Adelstein,1969-04-29,Liza Weil ( m.  2006;  div.  2017),1,,Actor,"Chicago, Illinois, United States",1977-06-05,"Passaic, New Jersey, U.S.",Actress,Paul Adelstein ( m.  2006;  div.  2017),1,-8.101466833678995,50.021561017680035,41.92009418400104,['Liza Weil'],[2006],[2017],['Paul Adelstein'],[2006],[2017],1.0,1.0,['Liza Weil'],1.0,['Paul Adelstein'],1.0,1.0,1.0,dp3wjzt,dr723jt,5003530.0,4.0,5.0,M,1.0,2006.0,2017.0,2006.0,2006.0,37.0,48.0,29.0,29.0
47,Luther Adler,1903-05-04,Sylvia Sidney ( m.  1938;  div.  1946)     Julie Roche ( m.  1959; died 1984),1,,"Actor, playwright","New York City, U.S.",1910-08-08,"The Bronx, New York City, U.S.",Actress,"July 1, 1999 (1999-07-01)  (aged 88) New York City, U.S.",1,-7.2636672895405106,116.01059570011705,108.74692841057652,"['Sylvia Sidney', 'Julie Roche']","[1938, 1959]",[1946],,,,1.0,1.0,"['Sylvia Sidney', 'Julie Roche']",2.0,,,2.0,1.0,dr5regw,dr72r5t,625441.0,4.0,7.0,M,1.0,1938.0,1946.0,,,35.0,43.0,,
48,Matt Adler,1966-12-08,Ria Pavia ( m.  1993;  div.  1995) Laura San Giacomo  ( m.  2000),,,Actor,"Los Angeles, California, U.S.",,,,,,,52.411753834780995,,"['Ria Pavia', 'Laura San Giacomo']","[1993, 2000]",[1995],,,,,,"['Ria Pavia', 'Laura San Giacomo']",2.0,,,1.0,,9q5ctr1,,,11.0,,M,1.0,1993.0,1995.0,,,27.0,29.0,,
49,Max Adler,1986-01-17,Jennifer Bronstein ( m.  2015),,,Actor,"Queens, New York City, U.S.",,,,,,,33.30116292600122,,['Jennifer Bronstein'],[2015],,,,,,,['Jennifer Bronstein'],1.0,,,1.0,,dr5x8y2,,,0.0,,M,0.0,2015.0,,,,29.0,,,
52,Ben Affleck,1972-08-15,Jennifer Garner ( m.  2005;  div.  2018),3,,Actordirectorproducerscreenwriter,"Berkeley, California, U.S.",1972-04-17,"Houston, Texas, U.S.","
Actress
film producer
","
 Scott Foley ( m.  2000;  div.  2004) 
 Ben Affleck ( m.  2005;  div.  2018) 
",3,0.3285488408386209,46.72512098126587,47.05366982210449,['Jennifer Garner'],[2005],[2018],"['Scott Foley', 'Ben Affleck']","[2000, 2005]","[2004, 2018]",3.0,3.0,['Jennifer Garner'],1.0,"['Scott Foley', 'Ben Affleck']",2.0,1.0,3.0,9q9p3w7,9vk1mc9,5003530.0,7.0,3.0,M,1.0,2005.0,2018.0,2000.0,2000.0,33.0,46.0,28.0,28.0
53,Casey Affleck,1975-08-12,Summer Phoenix ( m.  2006;  div.  2017),2,George Washington UniversityColumbia University,ActorDirector,"Falmouth, Massachusetts, U.S.",1978-12-10,"Winter Park, Florida, U.S.","Actress, model, designer",Casey Affleck ( m.  2006;  div.  2017),2,-3.3292949204980253,43.73532652963442,40.4060316091364,['Summer Phoenix'],[2006],[2017],['Casey Affleck'],[2006],[2017],2.0,2.0,['Summer Phoenix'],1.0,['Casey Affleck'],1.0,1.0,3.0,drmu3k8,djn4tn6,5003530.0,7.0,11.0,M,1.0,2006.0,2017.0,2006.0,2006.0,31.0,42.0,28.0,28.0
54,John Agar,1921-01-31,Shirley Temple ( m.  1945;  div.  1950) Loretta Combs ( m.  1951; died 2000),3,,Actor,"Chicago, Illinois, U.S.",,,,,,,98.26348248081754,,"['Shirley Temple', 'Loretta Combs']","[1945, 1951]",[1950],,,,3.0,,"['Shirley Temple', 'Loretta Combs']",2.0,,,1.0,,dp3wjzt,,,1.0,,M,1.0,1945.0,1950.0,,,24.0,29.0,,
61,Charles Aidman,1925-01-21,Frances Marie Spriggs ( m.  1957;  div.  1967)     Betty Hyatt Linton ( m.  1969; died 1993),,DePauw University  Indiana University,Actor,"Frankfort, Indiana, U.S.",,,,,,,94.2907794136772,,"['Frances Marie Spriggs', 'Betty Hyatt Linton']","[1957, 1969]",[1967],,,,,,"['Frances Marie Spriggs', 'Betty Hyatt Linton']",2.0,,,1.0,,dp4mpks,,,1.0,,M,1.0,1957.0,1967.0,,,32.0,42.0,,
70,Claude Akins,1926-05-25,Therese Fairfield ( m.  1952),3,,Actor,"Nelson, Georgia, U.S.",,,,,,,92.95194288725985,,['Therese Fairfield'],[1952],,,,,3.0,,['Therese Fairfield'],1.0,,,1.0,,dnh5854,,,5.0,,M,0.0,1952.0,,,,26.0,,,
75,Luis Alberni,1886-10-04,Charlotte Hall Alberni ( m.  1919;  div.  1940),,,Actor,"Barcelona, Spain",,,,,,,132.58862262743247,,['Charlotte Hall Alberni'],[1919],[1940],,,,,,['Charlotte Hall Alberni'],1.0,,,1.0,,sp3e3my,,,9.0,,M,1.0,1919.0,1940.0,,,33.0,54.0,,
78,Edward Albert,1951-02-20,Katherine Woodville ( m.  1978; his death 2006),,,Actor,"Los Angeles, California, U.S.",1938-12-04,"London, England",Actress,Patrick Macnee ( m.  1965;  div.  1969)   Jerrold Freedman ( m.  1970;  div.  1975) Edward Albert ( m.  1979; his death 2006),1,12.213803158175732,68.20947726510471,80.42328042328042,['Katherine Woodville'],[1978],,"['Patrick Macnee', 'Jerrold Freedman', 'Edward Albert']","[1965, 1970, 1979]","[1969, 1975]",,1.0,['Katherine Woodville'],1.0,"['Patrick Macnee', 'Jerrold Freedman', 'Edward Albert']",3.0,1.0,1.0,9q5ctr1,gcpvj0d,20000000.0,2.0,11.0,M,0.0,1978.0,,1965.0,1965.0,27.0,,27.0,27.0
81,Frank Albertson,1909-02-02,Virginia Shelley ( m.  1931;  div.  1943) Grace Gillern ( m.  1943; his death 1964),5,,Actor,"Fergus Falls, Minnesota, U.S.",,,,,,,110.2582530784342,,"['Virginia Shelley', 'Grace Gillern']","[1931, 1943]",[1943],,,,5.0,,"['Virginia Shelley', 'Grace Gillern']",2.0,,,1.0,,cb5xm9w,,,1.0,,M,1.0,1931.0,1943.0,,,22.0,34.0,,
82,Jack Albertson,1907-06-16,June Wallace Thompson ( m.  1952; his death 1981) [1],1,,"Actor, comedian, dancer, singer","Malden, Massachusetts, U.S.",,,,,,,111.89278356160635,,['June Wallace Thompson'],[1952],,,,,1.0,,['June Wallace Thompson'],1.0,,,4.0,,drt3qg7,,,5.0,,M,0.0,1952.0,,,,45.0,,,
85,Chris Alcaide,1922-10-23,Georgia Holt ( m.  1948;  div.  1949) Peri Hatman Alcaide   ( m.  1956),,,"Actor, businessman","Youngstown, Ohio, U.S.",1926-06-09,"Kensett, Arkansas, U.S.","
Singer-songwriter
actress
model
",John Sarkisian ( m.  1946;  div.  1947) ( m.  1965;  div.  1966) Chris Alcaide ( m.  1948;  div.  1949) John Southall ( m.  1951;  div.  1955) Joseph Harper Collins ( m.  1957;  div.  1961) Gilbert Hartmann LaPiere  ( m.  1961;  div.  1964) Hamilton T Holt ( m.  1970;  div.  1974),"2, including Cher",-3.6277267842597727,96.53860106641476,92.91087428215499,"['Georgia Holt', 'Peri Hatman Alcaide']","[1948, 1956]",[1949],more than 5,,,,2.0,"['Georgia Holt', 'Peri Hatman Alcaide']",2.0,more than 5,,2.0,3.0,dpq9ucb,9yqb6j9,20000000.0,10.0,5.0,M,1.0,1948.0,1949.0,,,26.0,27.0,,
89,Antony Alda,1956-12-09,Leslie Clark ( m.  1975;  div.  1977) Lori Carrell ( m.  1981;  div.  1992),2,,Actor,"St. Julien, France",,,,,,,62.40785231729604,,"['Leslie Clark', 'Lori Carrell']","[1975, 1981]","[1977, 1992]",,,,2.0,,"['Leslie Clark', 'Lori Carrell']",2.0,,,1.0,,gbtgxuw,,,11.0,,M,1.0,1975.0,1977.0,,,19.0,21.0,,
90,Robert Alda,1914-02-26,Joan Browne ( m.  1932;  div.  1946)   Flora Marino ( m.  1955),with Browne: Alan Alda with Marino: Antony Alda,,Actor,"New York City, U.S.",,,,,,,105.19312511550542,,"['Joan Browne', 'Flora Marino']","[1932, 1955]",[1946],,,,,,"['Joan Browne', 'Flora Marino']",2.0,,,1.0,,dr5regw,,,2.0,,M,1.0,1932.0,1946.0,,,18.0,32.0,,
99,Frank Aletter,1926-01-14,Lee Meriwether ( m.  1958;  div.  1974) Estella Aletter  ( m.  1984),4,,Actor,"Queens, New York City New York, US",1935-05-27,"Los Angeles, California, U.S.",Actress and model,Frank Aletter ( m.  1958;  div.  1974) Marshall Borden  ( m.  1986),2,-9.363641963900696,93.3106087051753,83.94696674127464,"['Lee Meriwether', 'Estella Aletter']","[1958, 1984]",[1974],"['Frank Aletter', 'Marshall Borden']","[1958, 1986]",[1974],4.0,2.0,"['Lee Meriwether', 'Estella Aletter']",2.0,"['Frank Aletter', 'Marshall Borden']",2.0,1.0,3.0,dr5x8y2,9q5ctr1,20000000.0,0.0,5.0,M,1.0,1958.0,1974.0,1958.0,1958.0,32.0,48.0,23.0,23.0
102,Cris Alexander,1920-01-14,"Shaun O’Brien (partner from 1950, m. 2011)",,,"Actor, singer, dancer, designer,  photographer","Tulsa, Oklahoma, U.S.",,,,,,,99.31210086449413,,['Shaun O’Brien'],[2011],,,,,,,['Shaun O’Brien'],1.0,,,5.0,,9y7txts,,,0.0,,M,0.0,2011.0,,,,91.0,,,
103,Flex Alexander,1970-04-15,Shanice  ( m.   2000 ),2,,"Actor, comedian, dancer","Harlem, New York, U.S.",1973-05-14,"Pittsburgh, Pennsylvania, U.S.","
Singer
songwriter
actress
dancer
keyboardist
",Flex Alexander  ( m.  2000),2,-3.080145382862072,49.060555658227074,45.980410275365,['Shanice'],[2000],,['Flex Alexander'],[2000],,2.0,2.0,['Shanice'],1.0,['Flex Alexander'],1.0,3.0,5.0,dr72jm9,dppn59u,5003530.0,3.0,4.0,M,0.0,2000.0,,2000.0,2000.0,30.0,,27.0,27.0
104,Jace Alexander,1964-04-07,Maddie Corman  ( m.  1998),3,,"Actor, television director","New York City, New York, U.S.",1970-08-15,"Manhattan, New York, U.S.",Actress,"Roger M. Dickes 1992-1997 
 Jace Alexander  ( m.  1998)",3,-6.3546821632203265,55.0812131665948,48.72653100337447,['Maddie Corman'],[1998],,['Roger M Dickes 1992 1997 Jace Alexander'],[1998],,3.0,3.0,['Maddie Corman'],1.0,['Roger M Dickes 1992 1997 Jace Alexander'],1.0,3.0,1.0,dr5regw,dr72h8r,625441.0,3.0,7.0,M,0.0,1998.0,,1998.0,1998.0,34.0,,28.0,28.0
105,Jason Alexander,1959-09-23,Daena Title ( m.  1982),2,,"Actor, voice actor, comedian, singer, director","Newark, New Jersey, U.S.",,,,,,,59.620662984181735,,['Daena Title'],[1982],,,,,2.0,,['Daena Title'],1.0,,,6.0,,dr5r8pt,,,9.0,,M,0.0,1982.0,,,,23.0,,,
112,Mahershala Ali,1974-02-16,Amatus-sami-Karim ( m.  2013),1,"Saint Mary's College, California (BA)New York University (MFA)","Actor, rapper","Oakland, California, U.S.",,,,,,,45.21927212742219,,['Amatus sami Karim'],[2013],,,,,1.0,,['Amatus sami Karim'],1.0,,,2.0,,9q9p1dh,,,1.0,,M,0.0,2013.0,,,,39.0,,,
113,Jed Allan,1935-03-01,Toby Brown ( m.  1958; died 2001),3,,"Actor, game show host","New York, New York, U.S.",,,,,,,84.18516465088263,,['Toby Brown'],[1958],,,,,3.0,,['Toby Brown'],1.0,,,4.0,,dr5regw,,,2.0,,M,0.0,1958.0,,,,23.0,,,
130,Woody Allen,1935-12-01,"
 Harlene Susan Rosen ( m.  1956;  div.  1962) 
 Louise Lasser ( m.  1966;  div.  1970) 
 Soon-Yi Previn  ( m.  1997) 
","5, including Ronan Farrow",,"Director, writer, actor, comedian","Brooklyn, New York City, U.S.",,,,,,,83.4322402239608,,"['Harlene Susan Rosen', 'Louise Lasser', 'Soon Yi Previn']","[1956, 1966, 1997]","[1962, 1970]",,,,5.0,,"['Harlene Susan Rosen', 'Louise Lasser', 'Soon Yi Previn']",3.0,,,4.0,,dr5rmm5,,,11.0,,M,1.0,1956.0,1962.0,,,21.0,27.0,,
134,Marshall Allman,1984-04-05,Jamie Anne Brown  ( m.  2006),3,,Actor,"Austin, Texas, U.S.",,"Parsons, Kansas, U.S.",Actress,Marshall Allman  ( m.  2006),3,,35.08627829455772,,['Jamie Anne Brown'],[2006],,['Marshall Allman'],[2006],,3.0,3.0,['Jamie Anne Brown'],1.0,['Marshall Allman'],1.0,1.0,1.0,9v6kpvc,9ysk2m8,5003530.0,3.0,,M,0.0,2006.0,,2006.0,2006.0,22.0,,,
136,Christopher Allport,1947-06-17,Carolyn Jones ( m.   1979 ;  div.  1990) Susan Hayden ( m.   1993 ),2,,Actor,"Boston, Massachusetts, U.S.",,,,,,,71.88922428249724,,"['Carolyn Jones', 'Susan Hayden']","[1979, 1993]",[1990],,,,2.0,,"['Carolyn Jones', 'Susan Hayden']",2.0,,,1.0,,drt2zp2,,,5.0,,M,1.0,1979.0,1990.0,,,32.0,43.0,,
148,Kirk Alyn,1910-10-08,Virginia O'Brien ( m.  1942;  div.  1955),3,,Actor,"Oxford, New Jersey, U.S.",1919-04-18,"Los Angeles, California, U.S.","actress, singer",Kirk Alyn  (1942–1955) Vern Evans (1958–1966) Harry B. White (1968–1996),4,-8.525842419762213,108.57991608315024,100.05407366338802,"[""Virginia O'Brien""]",[1942],[1955],,,,3.0,4.0,"[""Virginia O'Brien""]",1.0,,,1.0,2.0,dr68jmf,9q5ctr1,20000000.0,9.0,3.0,M,1.0,1942.0,1955.0,,,32.0,45.0,,
152,Dan Amboyer,1985-12-28,Eric P. Berger ( m.  2017),,Carnegie Mellon University (BFA),Actor,"Detroit, Michigan, U.S.",,,,,,,33.355921066140986,,['Eric P Berger'],[2017],,,,,,,['Eric P Berger'],1.0,,,1.0,,dpsby4p,,,0.0,,M,0.0,2017.0,,,,32.0,,,
154,Don Ameche,1908-05-31,Honore Prendergast ( m.  1932–1986)  (her death),6,,"Actor, singer, voice artist, and comedian","Kenosha, Wisconsin, U.S.",,,,,,,110.93451610916037,,['Honore Prendergast'],[1932],,,,,6.0,,['Honore Prendergast'],1.0,,,6.0,,dp9d386,,,5.0,,M,1.0,1932.0,,,,24.0,,,
157,Leon Ames,1902-01-20,Christine Gossett  ( m.  1938),2,,Actor,"Portland, Indiana, U.S.",,,,,,,117.29467408639464,,['Christine Gossett'],[1938],,,,,2.0,,['Christine Gossett'],1.0,,,1.0,,dp5w42c,,,1.0,,M,0.0,1938.0,,,,36.0,,,
158,Robert Downing Ames,1889-03-23,Alice Gerry   (m. 1907 - 19??)   Frances Goodrich   (m. 1917–1923)   Vivienne Segal   (m. 1923–1926)   Muriel Oakes   (m. 1927–1930) ,,,Actor,"Hartford, Connecticut, U.S.",,,,,,,130.1217684141358,,"['Alice Gerry', 'Frances Goodrich', 'Vivienne Segal', 'Muriel Oakes']","[1907, 1917, 1923, 1927]",,,,,,,"['Alice Gerry', 'Frances Goodrich', 'Vivienne Segal', 'Muriel Oakes']",4.0,,,1.0,,drkmd70,,,3.0,,M,1.0,1907.0,,,,18.0,,,
159,John Amos,1939-12-27,Noel J. Mickelson ( m.  1965;  div.  1975) Lillian Lehman ( m.  1978;  div.  1979) Elisabete De Sousa ( m.  1982),6,East Orange High School Colorado State University,Actor,"Newark, New Jersey, U.S.",,,,,,,79.36097250456888,,"['Noel J Mickelson', 'Lillian Lehman', 'Elisabete De Sousa']","[1965, 1978, 1982]","[1975, 1979]",,,,6.0,,"['Noel J Mickelson', 'Lillian Lehman', 'Elisabete De Sousa']",3.0,,,1.0,,dr5r8pt,,,0.0,,M,1.0,1965.0,1975.0,,,26.0,36.0,,
169,Eddie Anderson,1905-09-18,Mamie Wiggins Nelson ( m.  1932; her death 1954) Eva Simon ( m.  1956; divorce 1973),4,,"Comedian, actor","Oakland, California, U.S.",,,,,,,113.63409241805105,,"['Mamie Wiggins Nelson', 'Eva Simon']","[1932, 1956]",[1973],,,,4.0,,"['Mamie Wiggins Nelson', 'Eva Simon']",2.0,,,2.0,,9q9p1dh,,,8.0,,M,1.0,1932.0,1973.0,,,27.0,68.0,,
2253,Richard Anderson,1926-08-08,Carol Lee Ladd ( m.  1955;  div.  1956) Katharine Thalberg ( m.  1961;  div.  1973),3,,Film and television actor,"Long Branch, New Jersey, U.S.",,,,,,,92.7465998617357,,"['Carol Lee Ladd', 'Katharine Thalberg']","[1955, 1961]","[1956, 1973]",,,,3.0,,"['Carol Lee Ladd', 'Katharine Thalberg']",2.0,,,4.0,,dr5mk30,,,7.0,,M,1.0,1955.0,1956.0,,,29.0,30.0,,
2260,Dana Andrews,1909-01-01,Janet Murray ( m.  1932; her death 1935) Mary Todd ( m.  1939; his death 1992),4,,Actor,"Near Collins, Mississippi, U.S.",,,,,,,110.3458661026578,,"['Janet Murray', 'Mary Todd']","[1932, 1939]",,,,,4.0,,"['Janet Murray', 'Mary Todd']",2.0,,,1.0,,dj8k40g,,,0.0,,M,1.0,1932.0,,,,23.0,,,
2262,Edward Andrews,1914-10-09,Emily Andrews ( m.  1955–1985),3,,Actor,"Griffin, Georgia, U.S.",,,,,,,104.57709603893305,,['Emily Andrews'],[1955],,,,,3.0,,['Emily Andrews'],1.0,,,1.0,,djuj4s2,,,9.0,,M,1.0,1955.0,,,,41.0,,,
2267,Tige Andrews,1920-03-19,Norma Thornton Andrews ( m.  1950; her death 1996),,,Actor,"Brooklyn, New York, U.S.",,,,,,,99.13413690903988,,['Norma Thornton Andrews'],[1950],,,,,,,['Norma Thornton Andrews'],1.0,,,1.0,,dr5rmm5,,,2.0,,M,0.0,1950.0,,,,30.0,,,
2272,Paul Anka,1941-07-30,Anne de Zogheb ( m.  1963;  div.  2001) Anna Åberg ( m.  2008;  div.  2010) Lisa Pemberton ( m.  2016),6,,"
Singer-songwriter
actor
","Ottawa, Ontario, Canada",,,,,,,77.77024853350856,,"['Anne de Zogheb', 'Anna Åberg', 'Lisa Pemberton']","[1963, 2008, 2016]","[2001, 2010]",,,,6.0,,"['Anne de Zogheb', 'Anna Åberg', 'Lisa Pemberton']",3.0,,,2.0,,f244mkw,,,7.0,,M,1.0,1963.0,2001.0,,,22.0,60.0,,
2274,Dave Annable,1979-09-15,Odette Annable  ( m.  2010),1,,Actor,"Suffern, New York, U.S.",1985-05-10,"Los Angeles, California, U.S.",Actress,Dave Annable  ( m.   2010 ),1,-5.651040062424282,39.6421555541866,33.991115491762315,['Odette Annable'],[2010],,['Dave Annable'],[2010],,1.0,1.0,['Odette Annable'],1.0,['Dave Annable'],1.0,1.0,1.0,dr73bst,9q5ctr1,20000000.0,8.0,4.0,M,0.0,2010.0,,2010.0,2010.0,31.0,,25.0,25.0
2275,Michael Ansara,1922-04-15,Jean Byron ( m.  1955;  div.  1956) Barbara Eden ( m.  1958;  div.  1974) Beverly Kushida ( m.  1977; his death 2013),1,A.A. from Los Angeles City College,Actor,French Mandate for Syria and the Lebanon,1925-12-10,"Paducah, Kentucky, U.S.",Actress,Michael Ansara  ( m.  1955–1956),,-3.6551058543296575,97.06154130474958,93.40643545041992,"['Jean Byron', 'Barbara Eden', 'Beverly Kushida']","[1955, 1958, 1977]","[1956, 1974]",['Michael Ansara'],[1955],,1.0,,"['Jean Byron', 'Barbara Eden', 'Beverly Kushida']",3.0,['Michael Ansara'],1.0,1.0,1.0,,dn8fzyg,,3.0,11.0,M,1.0,1955.0,1956.0,1955.0,1955.0,33.0,34.0,30.0,30.0
2282,Craig Anton,1962-08-28,Lesley Barr (m. 1994–present; 2 children),,,"Actor, voice actor, comedian","Omaha, Nebraska, U.S.",,,,,,,56.69110248670403,,['Lesley Barr'],[1994],,,,,,,['Lesley Barr'],1.0,,,4.0,,9z7f8yw,,,8.0,,M,1.0,1994.0,,,,32.0,,,
2284,Lou Antonio,1934-01-23,Lane Bradbury ( m.  1965; divorce 1980),,,Actor,"Oklahoma City, Oklahoma, U.S.",,,,,,,85.28580326769202,,['Lane Bradbury'],[1965],[1980],,,,,,['Lane Bradbury'],1.0,,,1.0,,9y69ubw,,,1.0,,M,1.0,1965.0,1980.0,,,31.0,46.0,,
