,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl.1,num_of_m,name_sp_sp_cl.1,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,geo_distance,zodiac,zodiac_sp,sex,divorce,year_m_1,year_div_1,year_m_sp_1,year_div_sp_1,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1
23917,Dorothy Lamour,1914-12-10,Herbie Kay ( m.  1935;  div.  1939) William Ross Howard III ( m.  1943; died 1978),2,,"
 Actress 
 singer 
","New Orleans, Louisiana , U.S.",,,,,,,104.40460789749277,,"['Herbie Kay', 'William Ross Howard III']","[1935, 1943]",[1939],,,,2.0,,"['Herbie Kay', 'William Ross Howard III']",2.0,,,2.0,,9vrfqk7,,,11.0,,F,1.0,1935.0,1939.0,,,21.0,25.0,,
23918,Sarah Lancaster,1980-02-12,Matthew Jacobs ( m.  2011),1,,Actress,"Overland Park, Kansas , U.S.",,,,,,,39.22873159613135,,['Matthew Jacobs'],[2011],,,,,1.0,,['Matthew Jacobs'],1.0,,,1.0,,9yutv8q,,,1.0,,F,0.0,2011.0,,,,31.0,,,
23921,Audrey Landers,1956-07-18,Donald Berkowitz ( m.  1988),2,,"
 Actress 
 singer 
 writer 
 producer 
","Philadelphia, Pennsylvania , U.S.",,,,,,,62.799373019295395,,['Donald Berkowitz'],[1988],,,,,2.0,,['Donald Berkowitz'],1.0,,,4.0,,dr4e394,,,6.0,,F,0.0,1988.0,,,,32.0,,,
23922,Judy Landers,1958-10-07,Tom Niedenfuer  ( m.  1987),2,,Actress,"Philadelphia, Pennsylvania , U.S.",,,,,,,60.57893043662772,,['Tom Niedenfuer'],[1987],,,,,2.0,,['Tom Niedenfuer'],1.0,,,1.0,,dr4e394,,,9.0,,F,0.0,1987.0,,,,29.0,,,
23923,Carole Landis,1919-01-01,"
 Irving Wheeler ( m.  1934; annulled 1934) 
 Irving Wheeler ( m.  1934;  div.  1939) 
 Willis Hunt Jr. ( m.  1940;  div.  1940) 
 Thomas C. Wallace ( m.  1943;  div.  1945) 
 W. Horace Schmidlapp ( m.  1945–1948) 
",,San Bernardino High School,"Actress, Singer","Fairchild, Wisconsin , U.S.",,,,,,,100.3442918061288,,"['Irving Wheeler', 'Irving Wheeler', 'Willis Hunt Jr', 'Thomas C Wallace', 'W Horace Schmidlapp']","[1934, 1934, 1940, 1943, 1945]","[1934, 1939, 1940, 1945]",,,,,,"['Irving Wheeler', 'Irving Wheeler', 'Willis Hunt Jr', 'Thomas C Wallace', 'W Horace Schmidlapp']",5.0,,,2.0,,9zzmdp4,,,0.0,,F,1.0,1934.0,1934.0,,,15.0,15.0,,
23925,Diane Lane,1965-01-22,Christopher Lambert ( m.  1988;  div.  1994) Josh Brolin ( m.  2004;  div.  2013),1,,Actress,"New York City , U.S.",1957-03-29,"Great Neck, New York , U.S.","Actor,  novelist, film producer","Actor,  novelist, film producer",1,7.819462411959178,54.28448222756114,62.10394463952032,"['Christopher Lambert', 'Josh Brolin']","[1988, 2004]","[1994, 2013]",,,,1.0,1.0,"['Christopher Lambert', 'Josh Brolin']",2.0,,,1.0,4.0,dr5regw,dr78478,625441.0,1.0,3.0,F,1.0,1988.0,1994.0,,,23.0,29.0,,
23926,Priscilla Lane,1915-06-12,"
 Oren W. Haglund ( m.  1939; annulled 1939) 
 Joseph A. Howard ( m.  1942; died 1976) 
",Four,,,"Indianola, Iowa , U.S.",1905-11-23,Michigan,"Screenwriter 
 Assistant  film director 
 Production manager  of eleven  ABC / Warner Brothers   television series 
 
 United States Army Air Corps   Captain  in  World War II","Priscilla Lane  (Together one day in 1939,  annulled )
Helen Louise Persley",,9.549819640375915,103.90083300820689,113.4506526485828,"['Oren W Haglund', 'Joseph A Howard']","[1939, 1942]",[1939],,,,,,"['Oren W Haglund', 'Joseph A Howard']",2.0,,,,,9zm7r11,dpghh56,20000000.0,5.0,11.0,F,1.0,1939.0,1939.0,,,24.0,24.0,,
23928,Hope Lange,1933-11-28,"Don Murray ( m.  1956;  div.  1961) Alan J. Pakula ( m.  1963;  div.  1971) Charles Hollerith, Jr. ( m.  1986, her death)",Christopher Murray Patricia Murray,,Actress,"Redding ,  Connecticut , U.S.",1929-07-31,"Hollywood, California ,  U.S.",Actor,Hope Lange ( m.  1956;  div.  1961) Bettie Johnson  ( m.  1962),"5, including   Christopher Murray",4.328630978048831,85.43638815307638,89.7650191311252,"['Don Murray', 'Alan J Pakula', 'Charles Hollerith Jr']","[1956, 1963, 1986]","[1961, 1971]","['Hope Lange', 'Bettie Johnson']","[1956, 1962]",[1961],,5.0,"['Don Murray', 'Alan J Pakula', 'Charles Hollerith Jr']",3.0,"['Hope Lange', 'Bettie Johnson']",2.0,1.0,1.0,dr7fczk,9q5cgq7,20000000.0,11.0,7.0,F,1.0,1956.0,1961.0,1956.0,1956.0,23.0,28.0,27.0,27.0
23929,Jessica Lange,1949-04-20,Paco Grande ( m.  1971;  div.  1981),3; including  Shura Baryshnikov,,Actress photographer producer,"Cloquet, Minnesota , U.S.",,,,,,,70.04387495978699,,['Paco Grande'],[1971],[1981],,,,3.0,,['Paco Grande'],1.0,,,3.0,,cbq1zcr,,,4.0,,F,1.0,1971.0,1981.0,,,22.0,32.0,,
23930,Heather Langenkamp,1964-07-17,"
 Alan Pasqua ( m.  1984;  div.  1987) 
 David Leroy Anderson  ( m.  1989) 
",2,,Actress writer director producer prosthetic makeup coordinator,"Tulsa, Oklahoma , U.S.",,,,,,,54.80194665188197,,"['Alan Pasqua', 'David Leroy Anderson']","[1984, 1989]",[1987],,,,2.0,,"['Alan Pasqua', 'David Leroy Anderson']",2.0,,,7.0,,9y7txts,,,6.0,,F,1.0,1984.0,1987.0,,,20.0,23.0,,
23932,Angela Lansbury,1925-10-16,Richard Cromwell ( m.  1945;  div.  1946) Peter Shaw ( m.  1949; died 2003),2,,Actress singer songwriter producer writer,"Regent's Park ,  London , England [1]",1910-01-08,"Long Beach, California , U.S.",,Angela Lansbury ( m.  1945;  div.  1946),,15.770344360253803,93.55428242879732,109.32462678905114,"['Richard Cromwell', 'Peter Shaw']","[1945, 1949]",[1946],['Angela Lansbury'],[1945],[1946],2.0,,"['Richard Cromwell', 'Peter Shaw']",2.0,['Angela Lansbury'],1.0,5.0,,gcpvhex,9q5bn7t,20000000.0,9.0,0.0,F,1.0,1945.0,1946.0,1945.0,1945.0,20.0,21.0,35.0,35.0
23936,Ali Larter,1976-02-28,Hayes MacArthur  ( m.  2009),2,,"
 Actress 
 model 
","Cherry Hill ,  New Jersey , U.S.",1977-04-16,"Chicago, Illinois , U.S.","
 Actor 
 comedian 
 writer 
",Ali Larter  ( m.  2009),,-1.1307555938862537,43.185007221229725,42.054251627343476,['Hayes MacArthur'],[2009],,['Ali Larter'],[2009],,2.0,,['Hayes MacArthur'],1.0,['Ali Larter'],1.0,2.0,3.0,dr4ehu2,dp3wjzt,5003530.0,2.0,3.0,F,0.0,2009.0,,2009.0,2009.0,33.0,,32.0,32.0
23937,Louise Lasser,,Woody Allen ( m.  1966;  div.  1970),,,"Actress, television writer","New York City , U.S.",1935-12-01,"Brooklyn , New York City, U.S.","Director, writer, actor, comedian","
 Harlene Susan Rosen ( m.  1956;  div.  1962) 
 Louise Lasser ( m.  1966;  div.  1970) 
 Soon-Yi Previn  ( m.  1997) 
","5, including  Ronan Farrow",,,83.42950231695379,['Woody Allen'],[1966],[1970],"['Harlene Susan Rosen', 'Louise Lasser', 'Soon Yi Previn']","[1956, 1966, 1997]","[1962, 1970]",,5.0,['Woody Allen'],1.0,"['Harlene Susan Rosen', 'Louise Lasser', 'Soon Yi Previn']",3.0,3.0,4.0,dr5regw,dr5rmm5,19545.0,,11.0,F,1.0,1966.0,1970.0,1956.0,1956.0,,,21.0,21.0
23943,Piper Laurie,1932-01-22,Joe Morgenstern ( m.  1962;  div.  1982),1,,Actress,"Detroit ,  Michigan , U.S.",,,,,,,87.28721328980062,,['Joe Morgenstern'],[1962],[1982],,,,1.0,,['Joe Morgenstern'],1.0,,,1.0,,dpsby4p,,,1.0,,F,1.0,1962.0,1982.0,,,30.0,50.0,,
23944,Linda Lavin,1937-10-15,Ron Leibman ( m.  1969;  div.  1980) Kip Niven ( m.  1982;  div.  1992) Steve Bakunas  ( m.  2005),,,"Actress, singer","Portland, Maine , U.S.",1937-10-11,"New York City , U.S.",Actor,Linda Lavin ( m.  1969;  div.  1981) Jessica Walter  ( m.  1983),,0.010951628027954031,81.55677392417367,81.56772555220162,"['Ron Leibman', 'Kip Niven', 'Steve Bakunas']","[1969, 1982, 2005]","[1980, 1992]","['Linda Lavin', 'Jessica Walter']","[1969, 1983]",[1981],,,"['Ron Leibman', 'Kip Niven', 'Steve Bakunas']",3.0,"['Linda Lavin', 'Jessica Walter']",2.0,2.0,1.0,dry037b,dr5regw,625441.0,9.0,9.0,F,1.0,1969.0,1980.0,1969.0,1969.0,32.0,43.0,32.0,32.0
23947,Vicki Lawrence,1949-03-26,Bobby Russell ( m.  1972;  div.  1974) Al Schultz ( m.  1974),2,Morningside High School,"Actress, comedian, singer, dancer, writer","Inglewood, California , United States",,,,,,,70.1123226349617,,"['Bobby Russell', 'Al Schultz']","[1972, 1974]",[1974],,,,2.0,,"['Bobby Russell', 'Al Schultz']",2.0,,,5.0,,9q5c4y9,,,3.0,,F,1.0,1972.0,1974.0,,,23.0,25.0,,
23949,Maggie Lawson,1980-08-12,Ben Koldyke   (m. 2015-2017) [1] [2],,,Actress,"Louisville, Kentucky , U.S.",,,,,,,38.73043252085943,,['Ben Koldyke'],[2015],,,,,,,['Ben Koldyke'],1.0,,,1.0,,dng18e8,,,7.0,,F,0.0,2015.0,,,,35.0,,,
23951,Cloris Leachman,1926-04-30,George Englund ( m.  1953;  div.  1979),5 (1 deceased),,"Actress, comedian","Des Moines, Iowa , U.S.",1926-06-22,"Washington, D.C. , U.S.","Film director, screenwriter",Cloris Leachman ( m.  1953;  div.  1979)   Bonnie Graves ( m.  1980;  div.  1992),7,-0.14510907137039092,93.01765265542757,92.87254358405715,['George Englund'],[1953],[1979],"['Cloris Leachman', 'Bonnie Graves']","[1953, 1980]","[1979, 1992]",,7.0,['George Englund'],1.0,"['Cloris Leachman', 'Bonnie Graves']",2.0,2.0,3.0,9zmktd8,dqcjqfz,20000000.0,4.0,6.0,F,1.0,1953.0,1979.0,1953.0,1953.0,27.0,53.0,27.0,27.0
