,divorce
2464,0.0
2465,1.0
2466,1.0
2467,0.0
2468,1.0
2469,1.0
2470,1.0
2471,1.0
2472,0.0
2473,1.0
2474,1.0
2475,1.0
2476,0.0
2477,0.0
2478,1.0
2479,0.0
2480,0.0
2481,1.0
2482,1.0
2483,1.0
2484,1.0
2485,1.0
2486,1.0
2487,0.0
2488,1.0
2489,0.0
2490,1.0
2491,1.0
2492,1.0
2493,0.0
2494,0.0
2495,1.0
2496,1.0
2497,0.0
2498,1.0
2499,1.0
2500,0.0
2501,1.0
2502,0.0
2503,0.0
2504,1.0
2505,1.0
2506,1.0
2507,1.0
2508,1.0
2509,0.0
2510,1.0
2511,1.0
2512,0.0
2513,1.0
2514,1.0
2515,1.0
2516,0.0
2517,1.0
2518,1.0
2519,0.0
2520,1.0
2521,0.0
2522,1.0
2523,0.0
2524,1.0
2525,1.0
2526,0.0
2527,0.0
2528,1.0
2529,0.0
2530,1.0
2531,0.0
2532,1.0
2533,0.0
2534,1.0
2535,1.0
2536,0.0
2537,0.0
2538,1.0
2539,1.0
2540,0.0
2541,1.0
2542,0.0
2543,0.0
2544,0.0
2545,1.0
2546,0.0
2547,0.0
2548,0.0
2549,1.0
2550,1.0
2551,1.0
2552,1.0
2553,0.0
2554,1.0
2555,1.0
2556,0.0
2557,1.0
2558,0.0
2559,0.0
2560,0.0
2561,1.0
2562,1.0
2563,1.0
2564,1.0
2565,1.0
2566,1.0
2567,1.0
2568,0.0
2569,1.0
2570,1.0
2571,1.0
2572,1.0
2573,0.0
2574,1.0
2575,1.0
2576,1.0
2577,1.0
2578,1.0
2579,0.0
2580,1.0
2581,1.0
2582,0.0
2583,1.0
2584,1.0
2585,1.0
2586,1.0
2587,1.0
2588,1.0
2589,0.0
2590,1.0
2591,0.0
2592,0.0
2593,1.0
2594,1.0
2595,0.0
2596,0.0
2597,0.0
2598,1.0
2599,0.0
2600,1.0
2601,0.0
2602,1.0
2603,1.0
2604,1.0
2605,1.0
2606,1.0
2607,0.0
2608,0.0
2609,1.0
2610,1.0
2611,1.0
2612,1.0
2613,1.0
2614,1.0
2615,1.0
2616,1.0
2617,0.0
2618,1.0
2619,0.0
2620,1.0
2621,1.0
2622,1.0
2623,1.0
2624,1.0
2625,0.0
2626,1.0
2627,1.0
2628,0.0
2629,1.0
2630,1.0
2631,1.0
2632,0.0
2633,1.0
2634,1.0
2635,0.0
2636,0.0
2637,1.0
2638,1.0
2639,1.0
2640,0.0
2641,0.0
2642,0.0
2643,1.0
2644,1.0
2645,0.0
2646,1.0
2647,0.0
2648,0.0
2649,1.0
2650,1.0
2651,0.0
2652,0.0
2653,1.0
2654,1.0
2655,0.0
2656,0.0
2657,0.0
2658,1.0
2659,1.0
2660,1.0
2661,0.0
2662,1.0
2663,0.0
2664,1.0
2665,0.0
2666,0.0
2667,0.0
2668,1.0
2669,0.0
2670,1.0
2671,0.0
