,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
63,Samaire Armstrong,1980-10-31,,1,,Actress,"Tokyo, Japan",,,,,
64,Alexis Arquette,1969-07-28,,,,"Actress, musician, singer,  cartoonist","Los Angeles ,  California , U.S.",,,,,
65,Patricia Arquette,1968-04-08,Nicolas Cage ( m.  1995;  div.  2001) Thomas Jane ( m.  2006;  div.  2011),2,,Actress,"Chicago ,  Illinois , U.S.",1964-01-07,"Long Beach, California , U.S.","Actor, director, producer",Patricia Arquette ( m.  1995;  div.  2001) Lisa Marie Presley ( m.  2002;  div.  2004) Alice Kim ( m.  2004;  div.  2016) Erika Koike ( m.  2019;  sep.  2019),2
66,Rosanna Arquette,1959-08-10,Anthony Greco ( m.  1979;  div.  1980) James Newton Howard ( m.  1986;  div.  1987) John Sidel ( m.  1993;  div.  1999) Todd Morgan  ( m.  2013),1,,"Actress, film director, film producer","New York City , U.S.",,,,,
67,Beatrice Arthur,1922-05-13,Linden Hall School for Girls Blackstone College for Girls Franklin Institute The New School,2,,"Actress, comedienne, singer, activist","Brooklyn ,  New York City , U.S.",1922-06-10,United States,"Producer ,  screenwriter ,  film director",Bea Arthur ( m.  1947;  div.  1950),
68,Jean Arthur,1900-10-17,Julian Anker ( m.  1928–1928) Frank Ross Jr. ( m.  1932;  div.  1949),,,Actress,"Plattsburgh, New York , U.S.",,,,,
69,Katie Aselton,1978-10-01,Mark Duplass  ( m.  2006),2,,"Actress, film director/producer","Milbridge, Maine , U.S.",1976-12-07,"New Orleans ,  Louisiana , U.S.","
 Film director 
 film producer 
 screenwriter 
 actor 
 musician 
 film editor 
 author 
",Katie Aselton  ( m.  2006),2
70,Ashanti,1980-10-13,"
 Ja Rule 
 Irv Gotti 
 Fat Joe 
 Nelly 
",,,Singer songwriter record producer dancer actress,"Glen Cove, New York , U.S.",,,,,
71,Elizabeth Ashley,1939-08-30,James Farentino ( m.  1962;  div.  1965) George Peppard ( m.  1966;  div.  1972) James McCarthy ( m.  1975;  div.  1981),1,,Actress,"Ocala, Florida , U.S.",1938-02-24,"Brooklyn, New York , U.S.",,Elizabeth Ashley ( m.  1962;  div.  1965) Michele Lee ( m.  1966;  div.  1982) Debrah Mullowney ( m.  1985;  div.  1988) Stella Farentino  ( m.  1994),1
72,Mary Astor,1906-05-03,Kenneth Hawks ( m.  1928; his death 1930) Franklyn Thorpe ( m.  1931;  div.  1935) Manuel del Campo ( m.  1936;  div.  1941) Thomas Gordon Wheelock ( m.  1945;  div.  1955),2,,Actress,"Quincy, Illinois , U.S.",1898-08-12,"Goshen, Indiana",Film director,Mary Astor  (1928–1930; his death),
73,Margaret Avery,1944-01-20,Robert Gordon Hunt ( m.  1974;  div.  1980),1,,Actress,"Mangum, Oklahoma , U.S.",,,,,
74,Nicki Aycox,1975-05-26,,,,"
 Actress 
 musician 
","Hennessey ,  Oklahoma , U.S.",,,,,
75,Rochelle Aytes,1976-05-17,CJ Lindsey ( m.  2016),,Fiorello H. LaGuardia High SchoolState University of New York at Purchase,"Actress , model","Harlem, New York City ,  New York , U.S.",,,,,
76,Candice Azzara,1945-05-18,,,,Actress,"Brooklyn ,  New York , U.S.",,,,,
77,Lauren Bacall,1924-09-16,Humphrey Bogart ( m.  1945; died 1957) Jason Robards ( m.  1961;  div.  1969),"3, including  Sam Robards",,"
 Actress 
 model 
","The Bronx ,  New York City , U.S.",1899-12-25,"New York City , New York, U.S.",Actor,Helen Menken ( m.  1926;  div.  1927) Mary Philips ( m.  1928;  div.  1937) Mayo Methot ( m.  1938;  div.  1945) Lauren Bacall ( m.  1945; his death 1957),2
78,Barbara Bach,1947-08-27,Count Augusto Gregorini ( m.  1966;  div.  1978) Sir  Ringo Starr  ( m.  1981),"2, including  Francesca Gregorini",,"Actress, model","Queens ,  New York City , New York, U.S.",,,,,
79,Catherine Bach,1954-03-01,David Shaw ( m.  1976;  div.  1981) Peter Lopez ( m.  1990; died 2010),2,"University of California, Los Angeles (withdrawn)",Actress,"Warren, Ohio , U.S.",,,,,
80,Mary Badham,1952-10-07,Richard Wilt ( m.  1975),2,,"Child actress, art restorer","Birmingham, Alabama , U.S.",,,,,
81,Jane Badler,1953-12-31,Stephen  Hains [1],2,,"Actress, singer","Brooklyn ,  New York City , U.S.",,,,,
82,Erykah Badu,1971-02-26,André 3000  (1995-1999) Jay Electronica  (2004–2009) Carl Jones (2013–2018),3,,Singer songwriter record producer,"Dallas ,  Texas , U.S.",,,,,
83,Katherine Bailess,1980-04-24,,,St. Aloysius Catholic High School,"Actress, dancer, singer-songwriter","Vicksburg, Mississippi , U.S.",,,,,
84,Laura Bailey,,Travis Willingham  ( m.  2011),1,,"Voice actress, voice director, actress","Mississippi , U.S. [1]",,,"Actor, voice actor",Laura Bailey  ( m.  2011),1
85,Pearl Bailey,1918-03-29,John Randolph Pinkett ( m.  1948–1952) Louie Bellson  ( m.  1952–1990),2,,"Actress, singer","Newport News, Virginia , U.S.",,,,,
86,Barbara Bain,1931-09-13,Martin Landau ( m.  1957;  div.  1993),Juliet Landau Susan Bain Landau Finch,,"Actress, former dancer and model","Chicago ,  Illinois , U.S.",1928-06-20,"Brooklyn, New York City , U.S.","Actor, acting coach",Barbara Bain ( m.  1957;  div.  1993),Susan Landau Finch Juliet Landau
87,Fay Bainter,1893-12-07,Reginald Venable  (m. 1921–1964; his death; 1 son),,,"Actress, Singer","Los Angeles, California , U.S. [1]",,,,,
88,Diora Baird,1983-04-06,Jonathan Togo ( m.  2013;  div.  2016),1 [1],,"Actress, model","Miami ,  Florida , United States",1977-08-25,"Rockland, Massachusetts , US",Actor,Diora Baird ( m.  2013;  div.  2016),1
89,Blanche Baker,1956-12-20,Bruce Van Dusen ( m.  1983;  div.  2002) Mark Magill ( m.  2003),4,,Actress,"New York City, New York , U.S.",,,,,
90,Carroll Baker,1931-05-28,"
 Louie Ritter ( m.  1953;  div.  1953) 
 Jack Garfein ( m.  1955;  div.  1969) 
 Donald Burton ( m.  1978; died 2007) 
","
 Blanche Baker 
 Herschel Garfein 
",,Actress writer,"Johnstown ,  Pennsylvania , U.S.",,,,,
91,Diane Baker,1938-02-25,,,,"Actress, producer","Hollywood ,  Los Angeles ,  California , U.S.",,,,,
92,Kathy Baker,1950-06-08,Donald Camillieri ( m.  1985;  div.  1999)   Steven Robman  ( m.  2003),2,"California Institute of the ArtsUniversity of California, Berkeley (BA)",Actress,"Midland, Texas , U.S.",,,,,
93,Leigh-Allyn Baker,1972-03-13,Keith Kauffman (m. 2004),2 [2],,"Actress, voice artist","Murray, Kentucky , U.S. [3]",,,,,
94,Brenda Bakke,1963-05-15,,,,Actress,"Klamath Falls, Oregon , U.S.",,,,,
95,Fairuza Balk,1974-05-21,,,,"Actress, musician","Point Reyes ,  California , U.S.",,,,,
96,Lucille Ball,1911-08-06,Desi Arnaz ( m.  1940;  div.  1960) Gary Morton  ( m.  1961),Lucie Arnaz Desi Arnaz Jr.,,"Actress, comedian, model, film studio executive, TV producer","Jamestown, New York , U.S.",1917-03-02,"Santiago de Cuba ,  Republic of Cuba  (present-day  Cuba )","Actor, musician, producer",Lucille Ball ( m.   1940 ;  div.   1960 ) Edith Mack Hirsch ( m.   1963 ; died 1985),Lucie Arnaz Desi Arnaz Jr.
97,Kaye Ballard,1925-11-20,,,,"Actress, singer, comedian","Cleveland, Ohio , U.S.",,,,,
98,Talia Balsam,1959-03-05,George Clooney ( m.  1989;  div.  1993) John Slattery  ( m.  1998),1,,Actress,"New York City , U.S.",1961-05-06,"Lexington, Kentucky , U.S.","Actor, screenwriter, producer with  Smoke House Pictures , director","
 Talia Balsam ( m.  1989;  div.  1993) 
 Amal Alamuddin  ( m.   2014 ) 
",2
99,Anne Bancroft,1931-09-17,Martin May ( m.  1953;  div.  1957) Mel Brooks  ( m.  1964),Max Brooks,,"Actress, director, screenwriter and singer","The Bronx , New York, U.S.",,,,,
100,Tallulah Bankhead,1902-01-31,John Emery ( m.  1937;  div.  1941),,,Actress,"Huntsville, Alabama , U.S.",1905-05-20,"New York City ,  New York , U.S.",Actor,Patricia Calvert  ( m.  1926–1929) [1] Tallulah Bankhead ( m.  1937;  div.  1941) Tamara Geva ( m.  1942;  div.  1963) [2],
101,Elizabeth Banks,1974-02-10,Max Handelman  ( m.  2003),2,University of Pennsylvania (BA)American Conservatory Theater (MFA),Actress director producer,"Pittsfield, Massachusetts , U.S.",1973-05-03,"Portland ,  Oregon , U.S.","Sportswriter, film producer, blogger",Elizabeth Banks  ( m.  2003),2
102,Tyra Banks,1973-12-04,Erik Asla (2013–2017),1,,"
 Television personality 
 producer 
 businesswoman 
 model 
 actress 
 singer 
 author 
","Inglewood, California , U.S.",,,,,
103,Christine Baranski,1952-05-02,Matthew Cowles ( m.  1983; died 2014),2,Juilliard School (BFA),"
 Actress 
 singer 
 producer 
","Buffalo ,  New York , U.S.",1944-09-28,"New York City , U.S.",Actor,Kathleen Dezina  ( m.  1980; divorced) Christine Baranski  ( m.  1983),2
104,Adrienne Barbeau,1945-06-11,John Carpenter ( m.  1979;  div.  1984) Billy Van Zandt ( m.  1992;  div.  2018),3,,"Actress, singer, writer","Sacramento, California , U.S.",1948-01-16,"Carthage ,  New York , U.S.","
 Film director 
 screenwriter 
 producer 
 editor 
 composer 
 musician 
",Adrienne Barbeau ( m.  1979;  div.  1984) Sandy King  ( m.  1990),1
105,Ellen Barkin,1954-04-16,Gabriel Byrne ( m.  1988;  div.  1999)     Ronald O. Perelman ( m.  2000;  div.  2006),2,,Actress,"The Bronx ,  New York , U.S.",1950-05-12,"Dublin , Ireland","Actor, film director, film producer, screenwriter, author","
 Ellen Barkin ( m.  1988;  div.  1999) 
 Hannah Beth King ( m.  2014) 
",3
106,Joanna Eyles,1934-11-15,"Richard Edward Herndon (m. 1955–?; divorced) Lawrence Dobkin (m. 1961–1967; divorced) Jack Lionel Warner (married 1980–2012, his death)",,,,"Boston ,  Massachusetts",,,,,
107,Priscilla Barnes,1954-12-07,Ted Monte,,,Actress,"Fort Dix, New Jersey , U.S.",,,,,
108,Majel Barrett,1932-02-23,Gene Roddenberry ( m.  1969; died 1991),Rod Roddenberry,Shaker Heights High School,"Actress, producer, voice actress","Columbus , Ohio, U.S.",1921-08-19,"El Paso, Texas , U.S.","Television writer ,  producer",Robert Wesley,"3, including  Rod Roddenberry"
109,Barbara Barrie,1931-05-23,Jay Harnick ( m.  1964; died 2007),2,,"Actress, singer, author","Chicago ,  Illinois , U.S.",,,,,
110,Dana Barron,1966-04-22,,1,,Actress,"New York City ,  New York , U.S.",,,,,
111,Drew Barrymore,1975-02-22,Shakil Akhtar ( m.  1994;  div.  1995) Tom Green ( m.  2001;  div.  2002) Will Kopelman ( m.  2012;  div.  2016),2,,"
 Actress 
 producer 
 director 
 author 
 model 
 entrepreneur 
","Culver City, California , U.S",,,,,
112,Ethel Barrymore,1879-08-15,Russell Griswold Colt ( m.  1909;  div.  1923),3,,Actress,"Philadelphia ,  Pennsylvania , U.S.",,,,,
113,Roseanne Barr,1952-11-03,Bill Pentland ( m.  1974;  div.  1990) Tom Arnold ( m.  1990;  div.  1994) Ben Thomas ( m.  1995;  div.  2002),5,,"Actress, comedian, writer, producer, politician","Salt Lake City , Utah, U.S.",,,,,
114,Bonnie Bartlett,1929-06-20,William Daniels  ( m.  1951),3,,"Film, television actress","Wisconsin Rapids, Wisconsin , U.S.",,,,,
115,Mischa Barton,1986-01-24,,,,"
 Actress 
 fashion model 
 fashion designer 
","Hammersmith ,  London , England",,,,,
116,Kim Basinger,1953-12-08,"
 Ron Snyder ( m.  1980;  div.  1989) 
 Alec Baldwin ( m.  1993;  div.  2002) 
",Ireland Baldwin,,"
 Actress 
 model 
 singer 
 producer 
 animal rights activist 
","Athens, Georgia ,  U.S.",,,,,
117,Angela Bassett,1958-08-16,Courtney B. Vance  ( m.  1997),2,,Actress,"New York City ,  New York , U.S.",1960-03-12,"Detroit ,  Michigan , U.S.",Actor,Angela Bassett  ( m.  1997),2
118,Justine Bateman,1966-02-19,Mark Fluent ( m.  2001),2,,"Writer, director, producer, actress","Rye ,  New York , U.S.",,,,,
119,Kathy Bates,1948-06-28,Tony Campisi ( m.  1991;  div.  1997),,,"Actress, director","Memphis, Tennessee , U.S.",,,,,
120,Cyia Batten,1972-01-26,,,,"Actress, dancer, model,  vedette / showgirl","Locust Valley, New York , U.S.",,,,,
121,Frances Bavier,1902-12-14,,,,Actress,"Manhattan , New York City, U.S.",,,,,
122,Anne Baxter,1923-05-07,John Hodiak ( m.  1946;  div.  1953) Randolph Galt ( m.  1960;  div.  1969) David Klee ( m.  1977; his death 1977),3,,"Actress, singer","Michigan City, Indiana , U.S.",1914-04-16,"Pittsburgh , Pennsylvania, U.S.",,Anne Baxter ( m.  1946;  div.  1953),1
123,Meredith Baxter,1947-06-21,Meredith Baxter Birney,5,James Monroe High SchoolHollywood High SchoolInterlochen Center for the Arts,"Actress, producer","South Pasadena, California , U.S.",,,,,
124,Jennifer Beals,1963-12-19,Alexandre Rockwell ( m.  1986;  div.  1996) Ken Dixon ( m.  1998),1,Francis W. Parker SchoolYale University,"Actress, model","Chicago ,  Illinois , U.S.",1956-08-18,"Boston ,  Massachusetts , U.S.","Screenwriter, producer, film director",Jennifer Beals ( m.  1986;  div.  1996) Karyn Parsons Rockwell  ( m.  2003),2
125,Amanda Bearse,1958-08-09,Carrie Schenken (2010–present),1,,"Actress, director, comedian","Winter Park, Florida , U.S.",,,,,
126,Madisen Beaty,,,,,Actress,"Centennial, Colorado , U.S. [1]",,,,,
127,Kimberly Beck,1956-01-09,"William Barron Hilton, Jr. ( m.  1978–1985)  (divorced) Jason Clark ( m.  1988)",,Glendale High School,Actress,"Glendale, California , U.S.",,,,,
128,Bonnie Bedelia,1948-03-25,Ken Luber ( m.  1969;  div.  1980) Michael MacRae ( m.  1995),2,,Actress,"New York City ,  New York , U.S.",,,,,
129,Nicole Beharie,1985-01-03,,,Juilliard School (BFA),"Actress, singer","West Palm Beach, Florida , U.S.",,,,,
130,Beth Behrs,1985-12-26,Michael Gladis  ( m.   2018 ),,,"Actress, writer","Lancaster, Pennsylvania , U.S.",1977-08-30,"Houston ,  Texas , U.S.",Actor,Beth Behrs  ( m.  2018),
131,Doris Belack,1926-02-26,Philip Rose ( m.  1946; died 2011),,,Actress,"New York City , U.S.",1921-07-04,"Manhattan ,  New York City , U.S.",Producer,Doris Belack  ( m.  1946),
132,Ashley Bell,1986-05-26,,,,Actress,"Santa Monica, California ,  USA",,,,,
133,Catherine Bell,1968-08-14,Adam Beason ( m.  1994;  div.  2011),2,,"Model, Actress, Producer","London ,  England , UK",,,,,
134,Jillian Bell,1984-04-25,,,,Actress screenwriter comedian,"Las Vegas, Nevada , U.S.",,,,,
135,Kristen Bell,1980-07-18,Dax Shepard  ( m.  2013),2,,Actress,"Huntington Woods, Michigan , U.S.",1975-01-02,"Highland Township, Oakland County, Michigan , U.S.","Actor, writer, director, podcast host",Kristen Bell  ( m.  2013),2
136,Lake Bell,1979-03-24,Scott Campbell  ( m.  2013),2,,"Actress, director, screenwriter","New York City ,  New York ,  U.S.",1977-05-13,,,Lake Bell  ( m.  2013),
137,Camilla Belle,1986-10-02,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
138,Kathleen Beller,1956-02-19,Thomas Dolby,,,Actress,"Westchester, New York , U.S.",,,,,
139,Troian Bellisario,1985-10-28,Patrick J. Adams  ( m.  2016),1,,Actress,"Los Angeles ,  California , U.S.",1981-08-27,"Toronto ,  Ontario , Canada","Actor, photographer, director",Troian Bellisario  ( m.  2016),1
140,Maria Bello,,Dan McDermott [1] Clare Munn [2],Jackson,,Actress producer writer,"Norristown, Pennsylvania , U.S.",,,,,
