,age,age_diff,zodiac,zodiac_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geo_distance,age_m_1,age_m_sp_1,sex
2008,76.63675503261531,0.4766356358881447,8.0,5.688524590163935,1.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,19.0,28.60024154589372,0
2009,66.74469701636582,0.4766356358881447,7.0,5.688524590163935,2.0,2.2444113263785397,3.0,2.5119418483904465,12066431.412524851,29.0,28.60024154589372,0
2010,74.01384011992033,1.7057160653538403,4.0,7.0,2.0,6.0,2.0,3.0,625441.0,31.0,33.0,0
2011,36.926151803254,4.555877259628876,5.0,10.0,2.0,2.0,2.0,2.0,625441.0,28.0,33.0,0
2012,31.98149174863276,0.4766356358881447,4.0,5.688524590163935,1.0,2.2444113263785397,3.0,2.5119418483904465,12066431.412524851,27.0,28.60024154589372,0
2013,42.41565535226596,1.3141953633544836,11.0,7.0,2.0,2.0,1.0,2.5119418483904465,20000000.0,27.0,28.0,0
2014,125.53303627042307,-1.5332279239135642,10.0,4.0,2.310054482417038,2.2444113263785397,1.0,1.0,20000000.0,26.0,24.0,0
2015,44.710021424122324,0.4766356358881447,7.0,5.688524590163935,1.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,41.0,28.60024154589372,0
2016,70.23826635728318,-4.6653935399084165,1.0,9.0,2.0,2.0,1.0,1.0,5003530.0,43.0,39.0,0
2017,92.0566472959746,0.4766356358881447,3.0,5.688524590163935,2.0,2.2444113263785397,4.0,2.5119418483904465,12066431.412524851,27.0,28.60024154589372,0
2018,92.55220846423953,0.4766356358881447,9.0,5.688524590163935,2.0,2.0,1.0,4.0,20000000.0,25.0,28.60024154589372,0
2019,66.98563283298083,11.529326406428606,4.0,10.0,1.0,2.0,1.0,5.0,625441.0,20.0,32.0,0
2020,33.01642059727441,0.4766356358881447,4.0,5.688524590163935,2.310054482417038,2.2444113263785397,3.0,2.5119418483904465,12066431.412524851,30.0,28.60024154589372,0
