,name,bday,sex,age,age_diff,zodiac,zodiac_sp,num_of_m,num_of_m_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geohash,geo_distance,age_m_1,age_div_1,age_m_sp_1,age_div_sp_1,divorce
20406,Raoul Walsh,1887-03-11,M,132.15603332032828,-4.6599177258944415,2.0,10.0,3.0,1.0,,,2.0,3.0,dr5regw,5003530.0,29.0,39.0,25.0,25.0,1.0
20407,Pat Walshe,1900-07-26,M,118.78135759118942,,7.0,,,,,,3.0,,dr5regw,,,,,,
20408,Ray Walston,1914-11-02,M,104.5113862707653,,10.0,,1.0,,1.0,,2.0,,dj8s7c9,,29.0,,,,0.0
20409,Tracey Walter,1947-11-25,M,71.4484212543721,,11.0,,,,2.0,,1.0,,dr5reh7,,,,,,
20410,Henry B. Walthall,1878-03-16,M,141.14184411726455,,2.0,,,,,,1.0,,djfm7yz,,,,,,
20411,J. Waltham,,M,,,,,,,,,2.0,,,,,,,,
20412,David Walton,1978-10-27,M,40.52649951744389,-2.3190072349192663,10.0,2.0,1.0,2.0,2.0,2.0,1.0,7.0,drt2zp2,5003530.0,33.0,,26.0,26.0,0.0
20413,Fred Walton,1865-07-26,M,153.78002286152352,,7.0,,,,,,1.0,,gcpchgu,,,,,,
20414,Jim Walton,,M,,,,,,,,,,,xn75h6b,,,,,,
20415,Matt Walton,1973-08-24,M,45.70114376065217,,8.0,,,,2.0,,1.0,,dr4xw66,,,,,,
20416,Sam Wanamaker,1919-06-14,M,99.8980129639897,,5.0,,1.0,,3.0,,2.0,,dp3wjzt,,21.0,,,,0.0
20417,Garrett Wang,1968-12-15,M,50.391178463623476,,11.0,,,,,,,,9qh931c,,,,,,
20418,Wang Leehom,1976-05-17,M,42.97145047468463,,4.0,,1.0,,3.0,,9.0,,dr8v9bq,,37.0,,,,0.0
20419,Ray Arthur Wang,,M,,,,,,,,,4.0,,,,,,,,
20420,John War Eagle,1901-06-08,M,117.91344106997406,,5.0,,,,,,1.0,,gcrhhwf,,,,,,
20421,Patrick Warburton,1964-11-14,M,54.476135718050344,,10.0,,1.0,,4.0,,3.0,,dr72b0t,,27.0,,,,0.0
20422,Burt Ward,1945-07-06,M,73.83587616446607,,6.0,,4.0,,2.0,,2.0,,9q5ctr1,,20.0,22.0,,,1.0
20423,Fred Ward,1942-12-30,M,76.3520127038885,,0.0,,,,,,4.0,,9mudjgt,,,,,,
20424,James Harvey Ward,1978-07-31,M,40.76743533405888,,7.0,,,,,,1.0,,dq2fx7p,,,,,,
20425,Jeff Ward,1986-12-30,M,32.3511091945762,,0.0,,,,,,2.0,,dqcjqfz,,,,,,
20426,John Ward,1923-06-11,M,95.90614454780045,,5.0,,,,,,1.0,,dr5regw,,,,,,
20427,Jonathan Ward,1970-02-24,M,49.197451008576486,,2.0,,,,,,1.0,,dqcqvpz,,,,,,
20428,Kelly Ward,1956-11-17,M,62.468086271449785,,10.0,,1.0,,3.0,,3.0,,9mudjgt,,21.0,,,,0.0
20429,Larry Ward,1924-10-03,M,94.59194918444595,,9.0,,,,,,3.0,,dphgr6d,,,,,,
20430,Mateus Ward,,M,,,,,,,,,1.0,,9q5f7y6,,,,,,
20431,Richard Ward,1915-03-15,M,104.14724463883584,,2.0,,,,,,1.0,,dr4s1gg,,,,,,
20432,Solly Ward,1890-10-11,M,128.56937514117334,,9.0,,,,,,2.0,,dr5regw,,,,,,
20433,Vincent M. Ward,1971-01-27,M,48.274776347221355,,1.0,,,,,,1.0,,dph4m27,,,,,,
20434,Anthony Warde,1908-11-04,M,110.50466470906315,,10.0,,,,,,3.0,,dr347ku,,,,,,
20435,Harlan Warde,,M,,,,,,,,,,,9q5ctr1,,,,,,
20436,Jack Warden,1920-09-18,M,98.63309992676099,,8.0,,1.0,,1.0,,1.0,,dr5r8pt,,38.0,,,,0.0
20437,Joe Warfield,1937-11-06,M,81.49927787702691,,10.0,,,,,,,,dqcx88s,,,,,,
20438,Ben Warheit,,M,,,,,,,,,3.0,,dr460g7,,,,,,
20439,Richard Waring,1911-05-27,M,107.94745956453586,1.6263167621511736,5.0,9.0,1.0,,,,1.0,2.0,gcpte7e,20000000.0,23.0,,,,0.0
20440,Todd Waring,1955-04-28,M,64.02595535842624,,4.0,,,,,,1.0,,drekxs0,,,,,,
20441,Billy Warlock,1961-03-26,M,58.11481413033806,-0.6707872167121843,3.0,11.0,2.0,,,,1.0,,9q5bgc4,20000000.0,24.0,,,,1.0
20442,Dick Warlock,1940-02-05,M,79.25145622428934,,1.0,,,,,,,,dngywzj,,,,,,
20443,Malcolm-Jamal Warner,1970-08-18,M,48.718317282353496,,7.0,,1.0,,1.0,,3.0,,dr5reh7,,48.0,,,,0.0
20444,C. Denier Warren,1889-07-29,M,129.77131631724131,,7.0,,,,,,4.0,,dp3wjzt,,,,,,
20445,Chris Warren Jr.,1990-01-15,M,29.306556602804985,,0.0,,,,,,1.0,,dp4cc5k,,,,,,
20446,E. Alyn Warren,1874-06-02,M,144.92836950792966,,5.0,,,,,,1.0,,dq8vtfh,,,,,,
20447,Jerry Warren,,M,,,,,1.0,,,,7.0,,,,,,,,1.0
20448,David Warshofsky,1961-02-23,M,58.19968924755472,,2.0,,,,2.0,,1.0,,9q8yyk8,,,,,,
20449,Robert Warwick,1878-10-09,M,140.57509736681794,,9.0,,,,,,1.0,,9qce7rd,,,,,,
