,divorce
4838,0.0
4842,0.0
4847,0.0
4854,1.0
4856,1.0
4857,1.0
4858,0.0
4863,1.0
4865,1.0
4867,0.0
4870,0.0
4871,1.0
4885,1.0
4886,0.0
4887,1.0
4892,1.0
4900,0.0
4901,0.0
4902,0.0
4913,1.0
4916,0.0
4918,0.0
4919,1.0
4921,0.0
4924,1.0
4927,1.0
4929,1.0
4930,0.0
4932,1.0
4933,1.0
4935,0.0
4936,1.0
4937,0.0
4938,1.0
4941,1.0
4957,0.0
4960,0.0
4966,1.0
4967,1.0
4970,0.0
4978,0.0
4983,1.0
4984,1.0
4989,0.0
4990,1.0
4994,0.0
4996,0.0
4998,1.0
5004,1.0
5008,0.0
5014,1.0
5015,1.0
5019,1.0
5020,0.0
5023,0.0
5024,1.0
5026,0.0
5031,0.0
5032,1.0
5033,0.0
5039,1.0
5043,1.0
5048,0.0
5057,0.0
5064,1.0
5068,0.0
5069,1.0
5072,1.0
5315,1.0
5319,1.0
5320,0.0
5322,1.0
5328,0.0
5329,0.0
5331,0.0
5332,0.0
5341,1.0
5346,1.0
5350,0.0
5359,1.0
5361,1.0
5368,0.0
5382,0.0
5387,0.0
5390,0.0
5392,1.0
5395,0.0
5397,0.0
5399,1.0
5400,0.0
5401,1.0
5403,1.0
5404,0.0
5408,0.0
5411,1.0
5421,0.0
5531,1.0
5537,0.0
5542,1.0
5549,0.0
5550,1.0
5553,1.0
5556,0.0
5560,0.0
5565,1.0
5567,1.0
5570,0.0
5571,1.0
5573,1.0
5574,1.0
5576,1.0
5579,0.0
5584,1.0
5592,0.0
5595,1.0
5598,0.0
5599,0.0
5601,1.0
5742,1.0
5748,1.0
5751,1.0
5754,1.0
5759,0.0
5765,1.0
5766,1.0
5767,1.0
5775,0.0
5776,1.0
5780,1.0
5953,1.0
5959,0.0
6083,1.0
6087,0.0
6092,0.0
6093,1.0
6098,1.0
6099,0.0
6103,1.0
6105,0.0
6112,0.0
6119,0.0
6120,0.0
6121,0.0
6122,1.0
6123,1.0
6124,1.0
6130,0.0
6131,1.0
6278,0.0
6284,1.0
6293,1.0
6302,0.0
6307,0.0
6309,1.0
6457,1.0
6464,1.0
6473,0.0
6474,1.0
6483,1.0
6485,0.0
6486,0.0
6611,0.0
6613,0.0
6620,0.0
6621,1.0
6622,0.0
6627,1.0
6628,0.0
6630,1.0
6632,1.0
6633,1.0
6634,0.0
6637,0.0
6647,1.0
6648,1.0
6659,1.0
6729,1.0
6730,1.0
6733,1.0
6737,1.0
6739,1.0
6740,0.0
6743,0.0
6745,0.0
6746,1.0
6752,1.0
6753,1.0
6754,0.0
6755,0.0
6757,1.0
6761,0.0
6763,1.0
6766,1.0
6767,0.0
6769,1.0
6776,0.0
6779,0.0
6781,0.0
6783,1.0
6784,0.0
6787,1.0
6790,1.0
6794,0.0
6800,1.0
6807,1.0
6814,1.0
6816,0.0
6818,0.0
6822,1.0
6828,1.0
6975,0.0
6985,1.0
6987,0.0
6989,0.0
6990,0.0
6991,1.0
6992,0.0
6993,1.0
6995,0.0
7031,0.0
7032,1.0
7034,1.0
7039,1.0
7040,0.0
7046,0.0
7063,1.0
7065,0.0
7070,0.0
7080,0.0
7082,0.0
7084,1.0
7092,1.0
7096,0.0
7108,0.0
7110,1.0
7114,0.0
7116,1.0
7134,0.0
7139,0.0
7143,1.0
7147,0.0
