,Unnamed: 0,Unnamed: 0.1,name,bday,name_spouse,num_of_child,edu,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_sp,name_spouse_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_spouse_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,birthplace,birthplace_sp,birthplace,birthplace_sp,geohash,geohash_sp,zodiac,zodiac_sp
11,11,11,Brooke Adams,1949-02-08,Tony Shalhoub  ( m.  1992),2,,Actress,"New York City , U.S.",1953-10-09,"Green Bay, Wisconsin , U.S.",Actor,Brooke Adams  ( m.  1992),2,-4.6653935399084165,70.1588670540805,65.49347351417211,['Tony Shalhoub'],[1992],,['Brooke Adams'],[1992],,2.0,2.0,['Tony Shalhoub'],1.0,['Brooke Adams'],1.0,1.0,4.0,"New York City , U.S.","Green Bay, Wisconsin , U.S.","New York City , U.S.","Green Bay, Wisconsin , U.S.",dr5regw,,1.0,9.0
12,12,12,Edie Adams,1927-04-16,Ernie Kovacs ( m.  1954; died 1962) Martin Mills ( m.  1964;  div.  1971) Pete Candoli ( m.  1972;  div.  1988),2,,"Businesswoman, singer, actress, comedienne","Kingston, Pennsylvania , U.S.",,,,,,,91.97724799277194,,"['Ernie Kovacs', 'Martin Mills', 'Pete Candoli']","[1954, 1964, 1972]","[1971, 1988]",,,,2.0,,"['Ernie Kovacs', 'Martin Mills', 'Pete Candoli']",3.0,,,4.0,1.0,"Kingston, Pennsylvania , U.S.",,"Kingston, Pennsylvania , U.S.",,dr648zm,,3.0,
13,13,13,Jane Adams,1965-04-01,,,"University of Washington, SeattleCornish College of the ArtsJuilliard School (BFA)",Actress,"Washington, D.C. , U.S.",,,,,,,54.01616734087626,,,,,,,,,,,,,,1.0,4.0,"Washington, D.C. , U.S.",,"Washington, D.C. , U.S.",,dqcjqfz,,3.0,
14,14,14,Joey Lauren Adams,1968-01-09,"Beverly Hills ,  California , U.S.",,,"Actress, director","North Little Rock, Arkansas , U.S.",,,,,,,51.24266754279691,,,,,,,,,,,,,,2.0,3.0,"North Little Rock, Arkansas , U.S.",,"North Little Rock, Arkansas , U.S.",,9ynmu3t,,0.0,
15,15,15,Julie Adams,1926-10-17,Leonard Stern ( m.  1951;  div.  1953) Ray Danton ( m.  1954;  div.  1981),2,,Actress,"Waterloo, Iowa , U.S.",,"New York City , U.S.","Publisher, director, writer, producer",Julie Adams ( m.  1951;  div.  1953) Gloria Stroock  ( m.  1956),2,,92.47280916103684,,"['Leonard Stern', 'Ray Danton']","[1951, 1954]","[1953, 1981]","['Julie Adams', 'Gloria Stroock']","[1951, 1956]",[1953],2.0,2.0,"['Leonard Stern', 'Ray Danton']",2.0,"['Julie Adams', 'Gloria Stroock']",2.0,1.0,1.0,"Waterloo, Iowa , U.S.","New York City , U.S.","Waterloo, Iowa , U.S.","New York City , U.S.",9zw3dxw,,9.0,
16,16,16,Lillian Adams,1922-05-13,,,,Actress,"New York City , U.S.",,,,,,,96.90274269834427,,,,,,,,,,,,,,1.0,3.0,"New York City , U.S.",,"New York City , U.S.",,dr5regw,,4.0,
17,17,17,Shohreh Aghdashloo,1952-05-11,Aydin Aghdashloo ( m.  1972;  div.  1979) Houshang Touzie  ( m.  1987),1,,Actress,"Tehran ,  Iran",1940-10-30,"Rasht , Iran",Painter art historian art critic,"
 Shohreh Aghdashloo ( m.  1972;  div.  1979) 
 Firouzeh Athari  ( m.  1981) 
",Tara (from Firouzeh Athari)Takin (from Firouzeh Athari),11.529326406428606,66.90623352977816,78.43555993620677,"['Aydin Aghdashloo', 'Houshang Touzie']","[1972, 1987]",[1979],"['Shohreh Aghdashloo', 'Firouzeh Athari']","[1972, 1981]",[1979],1.0,,"['Aydin Aghdashloo', 'Houshang Touzie']",2.0,"['Shohreh Aghdashloo', 'Firouzeh Athari']",2.0,1.0,3.0,"Tehran ,  Iran","Rasht , Iran","Tehran ,  Iran","Rasht , Iran",tnke13h,,4.0,10.0
18,18,18,Dianna Agron,1986-04-30,Winston Marshall  ( m.  2016),,,"
 Actress 
 singer 
 dancer 
","Savannah, Georgia , U.S.",,,,,,,32.93702129407175,,['Winston Marshall'],[2016],,,,,,,['Winston Marshall'],1.0,,,3.0,6.0,"Savannah, Georgia , U.S.",,"Savannah, Georgia , U.S.",,djwqd8p,,4.0,
19,19,19,Christina Aguilera,1980-12-18,"Los Angeles ,  California , U.S.",2,,Singer songwriter actress television personality,"New York City ,  New York , U.S.",,,,,,,38.300581120762224,,,,,,,,2.0,,,,,,5.0,10.0,"New York City ,  New York , U.S.",,"New York City ,  New York , U.S.",,dr5regw,,11.0,
20,20,20,Lexi Ainsworth,1992-10-28,,,,Actress,"Oklahoma City, Oklahoma , U.S.",,,,,,,26.43996796648802,,,,,,,,,,,,,,1.0,2.0,"Oklahoma City, Oklahoma , U.S.",,"Oklahoma City, Oklahoma , U.S.",,9y69ubw,,10.0,
21,21,21,Jessica Alba,1981-04-28,"Los Angeles, California , U.S.",3,,"Actress, businesswoman","Pomona, California , U.S.",,,,,,,37.941915302846745,,,,,,,,3.0,,,,,,2.0,1.0,"Pomona, California , U.S.",,"Pomona, California , U.S.",,9qh38x9,,4.0,
22,22,22,Lola Albright,1924-07-20,Warren Dean ( m.  1944;  div.  1949) Jack Carson ( m.  1952;  div.  1958) Bill Chadney ( m.  1961;  div.  1975),,,"Actress, singer, model","Akron, Ohio , U.S.",,,,,,,94.71515499976044,,"['Warren Dean', 'Jack Carson', 'Bill Chadney']","[1944, 1952, 1961]","[1949, 1958, 1975]",,,,,,"['Warren Dean', 'Jack Carson', 'Bill Chadney']",3.0,,,3.0,3.0,"Akron, Ohio , U.S.",,"Akron, Ohio , U.S.",,dpq18yx,,6.0,
23,23,23,Erika Alexander,1969-11-19,Tony Puryear ( m.  1997;  div.  2017),,Philadelphia High School for Girls,Actress,"Winslow, Arizona , U.S.",,,,,,,49.38089077804472,,['Tony Puryear'],[1997],[2017],,,,,,['Tony Puryear'],1.0,,,1.0,3.0,"Winslow, Arizona , U.S.",,"Winslow, Arizona , U.S.",,9w1r1pb,,10.0,
24,24,24,Jaimie Alexander,1984-03-12,,,,Actress,"Greenville, South Carolina , U.S.",,,,,,,35.069850852515785,,,,,,,,,,,,,,1.0,1.0,"Greenville, South Carolina , U.S.",,"Greenville, South Carolina , U.S.",,dnjqm0d,,2.0,
25,25,25,Khandi Alexander,1957-09-04,,,,"Actress, dancer, choreographer","Jacksonville ,  Florida , U.S.",,,,,,,61.589218122206475,,,,,,,,,,,,,,3.0,3.0,"Jacksonville ,  Florida , U.S.",,"Jacksonville ,  Florida , U.S.",,djmutcu,,8.0,
26,26,26,,1973-05-17,,2,,Actress,,,,,,,,45.89005934413438,,,,,,,,2.0,,,,,,1.0,9.0,,,,,dr5xqge,,4.0,
27,27,27,Tatyana Ali,1979-01-24,Harvard University   (2002),1,,"Actress, singer","North Bellmore ,  Long Island, New York , U.S.",,,,,,,40.200688583612255,,,,,,,,1.0,,,,,,2.0,1.0,"North Bellmore ,  Long Island, New York , U.S.",,"North Bellmore ,  Long Island, New York , U.S.",,9g3w966,,1.0,
28,28,28,Ana Alicia,1956-12-12,Gary R. Benz ( m.  1994;  div.  2016),2,,"Actress, singer, producer","Mexico City , Mexico [1]",,,,,,,62.31750138606542,,['Gary R Benz'],[1994],[2016],,,,2.0,,['Gary R Benz'],1.0,,,3.0,4.0,"Mexico City , Mexico [1]",,"Mexico City , Mexico [1]",,9vk1mc9,,11.0,
29,29,29,Debbie Allen,1950-01-16,Win Wilford ( m.  1975–1983) Norm Nixon  ( m.  1984),,Howard University,"Actress, choreographer, dancer, film director, television director, television producer","Houston, Texas , U.S.",,,,,,,69.22250285769044,,"['Win Wilford', 'Norm Nixon']","[1975, 1984]",,,,,,,"['Win Wilford', 'Norm Nixon']",2.0,,,9.0,1.0,"Houston, Texas , U.S.",,"Houston, Texas , U.S.",,dr5reh7,,0.0,
30,30,30,Elizabeth Allen,1929-01-25,Baron Karl von Vietinghoff-Scheel ( m.  1952;  div.  1955),,,Actress,"Jersey City, New Jersey , U.S.",,,,,,,90.19760843822941,,['Baron Karl von Vietinghoff Scheel'],[1952],[1955],,,,,,['Baron Karl von Vietinghoff Scheel'],1.0,,,1.0,7.0,"Jersey City, New Jersey , U.S.",,"Jersey City, New Jersey , U.S.",,dp2wt0n,,1.0,
31,31,31,Joan Allen,1956-08-20,Peter Friedman ( m.  1990;  div.  2002),1,,Actress,"Rochelle, Illinois , U.S.",1949-04-24,"New York City, New York , U.S.",Actor,Joan Allen ( m.  1990;  div.  2002),1,7.323901243694258,62.62962278486211,69.95352402855636,['Peter Friedman'],[1990],[2002],['Joan Allen'],[1990],[2002],1.0,1.0,['Peter Friedman'],1.0,['Joan Allen'],1.0,1.0,7.0,"Rochelle, Illinois , U.S.","New York City, New York , U.S.","Rochelle, Illinois , U.S.","New York City, New York , U.S.",9yzxwdz,,7.0,4.0
32,32,32,Karen Allen,1951-10-05,Kale Browne ( m.  1988;  div.  1998),1,,Actress,"Carrollton, Illinois , U.S.",1949-06-16,"San Rafael, California , U.S.",Actor,Karen Allen ( m.   1988 ;  div.  1998),1,2.302579792877335,67.50583516430865,69.80841495718596,['Kale Browne'],[1988],[1998],['Karen Allen'],[1988],[1998],1.0,1.0,['Kale Browne'],1.0,['Karen Allen'],1.0,1.0,4.0,"Carrollton, Illinois , U.S.","San Rafael, California , U.S.","Carrollton, Illinois , U.S.","San Rafael, California , U.S.",9q55j2s,,9.0,5.0
33,33,33,Krista Allen,1971-04-05,Justin Moritt ( m.  1996;  div.  1999)  1 son Mams Taylor ( m.  2010;  div.  2012),1,,"
 Actress 
 model 
","Ventura, California , U.S.",,,,,,,48.00646146053649,,"['Justin Moritt', '1 son Mams Taylor']","[1996, 2010]","[1999, 2012]",,,,1.0,,"['Justin Moritt', '1 son Mams Taylor']",2.0,,,2.0,1.0,"Ventura, California , U.S.",,"Ventura, California , U.S.",,c20fbmg,,3.0,
34,34,34,Laura Allen,1974-03-21,Bruce Weyman ( m.  2006),2,,Actress,"Portland, Oregon , U.S.",,,,,,,45.046783985981925,,['Bruce Weyman'],[2006],,,,,2.0,,['Bruce Weyman'],1.0,,,1.0,4.0,"Portland, Oregon , U.S.",,"Portland, Oregon , U.S.",,dr72r5t,,3.0,
35,35,35,Nancy Allen,1950-06-24,Brian De Palma ( m.  1979;  div.  1984) Craig Shoemaker ( m.  1992;  div.  1993) Randy Bailey ( m.  1998;  div.  2007),,High School of Performing Arts,Actress,"The Bronx ,  New York City , U.S.",1940-09-11,"Newark, New Jersey , U.S.","Film director, screenwriter",Nancy Allen ( m.  1979;  div.  1983) Gale Anne Hurd ( m.  1991;  div.  1993) Darnell Gregorio ( m.  1995;  div.  1997),2,9.782541735969938,68.78717564357926,78.5697173795492,"['Brian De Palma', 'Craig Shoemaker', 'Randy Bailey']","[1979, 1992, 1998]","[1984, 1993, 2007]","['Nancy Allen', 'Gale Anne Hurd', 'Darnell Gregorio']","[1979, 1991, 1995]","[1983, 1993, 1997]",,2.0,"['Brian De Palma', 'Craig Shoemaker', 'Randy Bailey']",3.0,"['Nancy Allen', 'Gale Anne Hurd', 'Darnell Gregorio']",3.0,1.0,1.0,"The Bronx ,  New York City , U.S.","Newark, New Jersey , U.S.","The Bronx ,  New York City , U.S.","Newark, New Jersey , U.S.",9ydy3hw,,6.0,8.0
36,36,36,Kirstie Alley,1951-01-12,Bob Alley ( m.  1970;  div.  1977) Parker Stevenson ( m.  1983;  div.  1997),2,,"Actress, spokesmodel","Wichita, Kansas , U.S.",,,,,,,68.23411842816759,,"['Bob Alley', 'Parker Stevenson']","[1970, 1983]","[1977, 1997]",,,,2.0,,"['Bob Alley', 'Parker Stevenson']",2.0,,,2.0,1.0,"Wichita, Kansas , U.S.",,"Wichita, Kansas , U.S.",,9ysk2m8,,0.0,
37,37,37,Jamie Anne Allman,,Marshall Allman  ( m.  2006),3,,Actress,"Parsons, Kansas , U.S.",1984-04-05,"Austin, Texas , U.S.",Actor,Jamie Anne Brown  ( m.  2006),3,,,35.00414108434807,['Marshall Allman'],[2006],,['Jamie Anne Brown'],[2006],,3.0,3.0,['Marshall Allman'],1.0,['Jamie Anne Brown'],1.0,1.0,3.0,"Parsons, Kansas , U.S.","Austin, Texas , U.S.","Parsons, Kansas , U.S.","Austin, Texas , U.S.",dr72r5t,,,3.0
